QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 5.16 	ga2: 0.00 	ga3: 0.66 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.44 	gb1: 0.52 	gb2: 0.84 	gb3: 0.65 	gb4: 0.83 	gb5: 0.73 	gb6: 0.85 	gb7: 0.48 	gb8: 0.49 	gb9: 0.34 	gb10: -1.69 	gb11: -1.48 	gb12: 3.03 	gb13: -0.69 	gb14: -0.52 	gb15: -3.59 	gb16: 2.28 	gb17: -0.60 	gb18: 3.75 	gb19: 1.53
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.91 	ga1: 3.78 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.73 	gb1: 0.93 	gb2: 0.60 	gb3: 0.59 	gb4: 0.91 	gb5: 0.59 	gb6: 0.59 	gb7: 0.36 	gb8: 0.37 	gb9: 0.43 	gb10: -1.61 	gb11: -2.85 	gb12: 2.23 	gb13: -0.20 	gb14: -2.01 	gb15: -1.19 	gb16: 1.74 	gb17: -1.44 	gb18: -0.02 	gb19: -2.04
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.29 	ga1: 8.04 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.12 	ga8: 0.26 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.61 	gb1: 0.44 	gb2: 0.08 	gb3: 0.31 	gb4: 0.31 	gb5: 0.47 	gb6: 0.64 	gb7: 0.72 	gb8: 0.36 	gb9: 0.80 	gb10: 1.42 	gb11: 2.34 	gb12: -2.06 	gb13: -1.00 	gb14: -2.08 	gb15: -4.28 	gb16: 1.30 	gb17: -0.74 	gb18: -3.63 	gb19: -1.76
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.60 	ga1: 6.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.62 	gb1: 0.83 	gb2: 0.32 	gb3: 0.68 	gb4: 0.26 	gb5: 0.45 	gb6: 0.07 	gb7: 0.31 	gb8: 0.40 	gb9: 0.26 	gb10: -3.04 	gb11: -3.99 	gb12: 1.70 	gb13: 0.72 	gb14: -1.64 	gb15: 1.57 	gb16: -1.22 	gb17: -1.92 	gb18: -3.55 	gb19: 1.74
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.51 	ga1: 4.74 	ga2: 0.00 	ga3: 0.22 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.22 	ga11: 0.00 	gb0: 0.41 	gb1: 0.16 	gb2: 0.38 	gb3: 0.79 	gb4: 0.39 	gb5: 0.25 	gb6: 0.24 	gb7: 0.15 	gb8: 0.37 	gb9: 0.42 	gb10: -1.86 	gb11: -0.86 	gb12: 1.86 	gb13: 1.11 	gb14: 0.95 	gb15: -2.34 	gb16: 2.11 	gb17: -3.65 	gb18: 0.56 	gb19: 2.90
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.39 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.40 	gb1: 0.35 	gb2: 0.24 	gb3: 0.49 	gb4: 0.43 	gb5: 0.41 	gb6: 0.23 	gb7: 0.81 	gb8: 0.79 	gb9: 0.13 	gb10: -3.60 	gb11: -1.63 	gb12: -0.89 	gb13: -3.35 	gb14: 3.09 	gb15: -2.83 	gb16: -0.12 	gb17: -1.21 	gb18: -2.70 	gb19: -2.02
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.08 	ga1: 3.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.18 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.18 	gb1: 0.84 	gb2: 0.49 	gb3: 0.56 	gb4: 0.15 	gb5: 0.47 	gb6: 0.76 	gb7: 0.64 	gb8: 0.49 	gb9: 0.66 	gb10: -0.24 	gb11: -1.06 	gb12: -0.20 	gb13: -3.02 	gb14: 3.73 	gb15: -2.21 	gb16: -2.46 	gb17: -3.23 	gb18: 0.60 	gb19: -3.67
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.32 	ga1: 5.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.30 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.26 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.58 	gb1: 0.15 	gb2: 0.64 	gb3: 0.06 	gb4: 0.26 	gb5: 0.35 	gb6: 0.65 	gb7: 0.53 	gb8: 0.42 	gb9: 0.68 	gb10: 1.73 	gb11: -2.32 	gb12: -2.28 	gb13: -2.02 	gb14: -0.30 	gb15: -2.94 	gb16: -1.61 	gb17: 3.59 	gb18: 3.60 	gb19: 0.85
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.49 	ga1: 4.56 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.84 	gb1: 0.86 	gb2: 0.36 	gb3: 0.25 	gb4: 0.71 	gb5: 0.18 	gb6: 0.58 	gb7: 0.66 	gb8: 0.36 	gb9: 0.53 	gb10: 2.00 	gb11: -1.34 	gb12: 3.38 	gb13: -2.60 	gb14: 2.69 	gb15: -1.86 	gb16: -0.22 	gb17: 2.25 	gb18: -1.10 	gb19: 2.35
			Robot 9 	f: 1.00 	mf: 0.00 	ga0: 0.94 	ga1: 6.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.58 	gb1: 0.70 	gb2: 0.26 	gb3: 0.12 	gb4: 0.54 	gb5: 0.93 	gb6: 0.05 	gb7: 0.92 	gb8: 0.25 	gb9: 0.46 	gb10: 0.60 	gb11: -4.45 	gb12: -4.12 	gb13: -0.73 	gb14: 4.22 	gb15: -4.29 	gb16: -0.96 	gb17: 0.37 	gb18: 3.23 	gb19: -4.21
		Population 1
			Robot 0 	f: 1092.96 	mf: 546.00 	ga0: 1.54 	ga1: 5.16 	ga2: 0.00 	ga3: 0.66 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.44 	gb1: 0.52 	gb2: 0.84 	gb3: 0.65 	gb4: 0.83 	gb5: 0.73 	gb6: 0.85 	gb7: 0.48 	gb8: 0.49 	gb9: 0.34 	gb10: -1.69 	gb11: -1.48 	gb12: 3.03 	gb13: -0.69 	gb14: -0.52 	gb15: -3.59 	gb16: 2.28 	gb17: -0.60 	gb18: 3.75 	gb19: 1.53
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.16 	ga1: 4.33 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.32 	ga7: 0.00 	ga8: 0.00 	ga9: 0.33 	ga10: 0.00 	ga11: 0.23 	gb0: 0.84 	gb1: 0.85 	gb2: 0.53 	gb3: 0.80 	gb4: 0.49 	gb5: 0.73 	gb6: 0.29 	gb7: 0.47 	gb8: 0.44 	gb9: 0.36 	gb10: -1.47 	gb11: -3.89 	gb12: -1.82 	gb13: -2.48 	gb14: 2.21 	gb15: -1.82 	gb16: -1.55 	gb17: -4.01 	gb18: 0.45 	gb19: -3.56
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.39 	ga1: 6.89 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.07 	ga8: 0.16 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.35 	gb1: 0.62 	gb2: 0.44 	gb3: 0.65 	gb4: 0.43 	gb5: 0.25 	gb6: 0.71 	gb7: 0.81 	gb8: 0.50 	gb9: 0.34 	gb10: 0.91 	gb11: 3.06 	gb12: 3.41 	gb13: -0.81 	gb14: 0.03 	gb15: -0.51 	gb16: 2.73 	gb17: -0.85 	gb18: 0.71 	gb19: -3.33
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.97 	ga1: 6.06 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.35 	ga11: 0.00 	gb0: 0.11 	gb1: 0.67 	gb2: 0.76 	gb3: 0.69 	gb4: 0.39 	gb5: 0.28 	gb6: 0.25 	gb7: 0.58 	gb8: 0.74 	gb9: 0.34 	gb10: -3.36 	gb11: -0.57 	gb12: 0.66 	gb13: -3.72 	gb14: 1.00 	gb15: -1.77 	gb16: 3.96 	gb17: -3.46 	gb18: -3.17 	gb19: -1.84
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.52 	ga1: 4.91 	ga2: 0.47 	ga3: 0.82 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.13 	ga11: 0.00 	gb0: 0.62 	gb1: 0.65 	gb2: 0.33 	gb3: 0.47 	gb4: 0.82 	gb5: 0.16 	gb6: 0.32 	gb7: 0.30 	gb8: 0.60 	gb9: 0.52 	gb10: -1.04 	gb11: -0.44 	gb12: 2.85 	gb13: -0.68 	gb14: 0.67 	gb15: -2.41 	gb16: 4.32 	gb17: -3.59 	gb18: 0.48 	gb19: -2.85
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.85 	ga1: 6.20 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.16 	ga10: 0.00 	ga11: 0.00 	gb0: 0.88 	gb1: 0.34 	gb2: 0.23 	gb3: 0.18 	gb4: 0.60 	gb5: 0.12 	gb6: 0.30 	gb7: 0.68 	gb8: 0.26 	gb9: 0.83 	gb10: 0.76 	gb11: -2.55 	gb12: -2.47 	gb13: 3.04 	gb14: -2.02 	gb15: 0.49 	gb16: 2.59 	gb17: 0.95 	gb18: 1.28 	gb19: 0.03
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.27 	ga1: 4.26 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.57 	ga9: 0.00 	ga10: 0.00 	ga11: 0.66 	gb0: 0.56 	gb1: 0.63 	gb2: 0.79 	gb3: 0.83 	gb4: 0.32 	gb5: 0.52 	gb6: 0.48 	gb7: 0.49 	gb8: 0.67 	gb9: 0.64 	gb10: -1.48 	gb11: -1.60 	gb12: 1.87 	gb13: -0.49 	gb14: 4.19 	gb15: 1.22 	gb16: -4.02 	gb17: 0.34 	gb18: 0.64 	gb19: -0.09
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.41 	ga1: 5.23 	ga2: 0.00 	ga3: 0.27 	ga4: 0.18 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.15 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.15 	gb1: 0.73 	gb2: 0.79 	gb3: 0.75 	gb4: 0.39 	gb5: 0.27 	gb6: 0.83 	gb7: 0.58 	gb8: 0.79 	gb9: 0.71 	gb10: 2.40 	gb11: 2.37 	gb12: 1.30 	gb13: -3.37 	gb14: 0.46 	gb15: -4.41 	gb16: 1.70 	gb17: 0.01 	gb18: 1.20 	gb19: -0.46
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.51 	ga1: 4.80 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.68 	gb1: 0.47 	gb2: 0.73 	gb3: 0.11 	gb4: 0.26 	gb5: 0.59 	gb6: 0.27 	gb7: 0.14 	gb8: 0.81 	gb9: 0.15 	gb10: 0.91 	gb11: 0.18 	gb12: 0.04 	gb13: -0.20 	gb14: 0.98 	gb15: -0.59 	gb16: 3.95 	gb17: 0.20 	gb18: -1.78 	gb19: 1.94
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.18 	ga1: 6.02 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.80 	gb1: 0.79 	gb2: 0.53 	gb3: 0.07 	gb4: 0.92 	gb5: 0.74 	gb6: 0.52 	gb7: 0.87 	gb8: 0.69 	gb9: 0.16 	gb10: 1.92 	gb11: 0.58 	gb12: -0.80 	gb13: 1.35 	gb14: 0.43 	gb15: -1.56 	gb16: 0.36 	gb17: -3.16 	gb18: -2.54 	gb19: -3.51
		Population 2
			Robot 0 	f: -1034.61 	mf: 19.33 	ga0: 1.53 	ga1: 5.06 	ga2: 0.19 	ga3: 0.72 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.34 	ga9: 0.00 	ga10: 0.05 	ga11: 0.00 	gb0: 0.88 	gb1: 0.50 	gb2: 0.26 	gb3: 0.88 	gb4: 0.29 	gb5: 0.47 	gb6: 0.16 	gb7: 0.73 	gb8: 0.68 	gb9: 0.20 	gb10: -2.08 	gb11: -2.52 	gb12: -0.50 	gb13: 1.33 	gb14: 1.93 	gb15: -2.58 	gb16: 1.08 	gb17: -2.35 	gb18: 4.43 	gb19: -0.92
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.31 	ga1: 4.56 	ga2: 0.19 	ga3: 0.49 	ga4: 0.27 	ga5: 0.00 	ga6: 0.19 	ga7: 0.00 	ga8: 0.00 	ga9: 0.20 	ga10: 0.05 	ga11: 0.14 	gb0: 0.68 	gb1: 0.91 	gb2: 0.73 	gb3: 0.24 	gb4: 0.91 	gb5: 0.59 	gb6: 0.35 	gb7: 0.61 	gb8: 0.82 	gb9: 0.47 	gb10: -0.41 	gb11: -1.51 	gb12: 1.95 	gb13: 1.54 	gb14: -1.41 	gb15: 3.54 	gb16: -3.19 	gb17: -4.55 	gb18: -1.82 	gb19: 0.22
