QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.17 	ga1: 5.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.30 	ga11: 0.00 	gb0: 0.51 	gb1: 0.77 	gb2: 0.35 	gb3: 0.46 	gb4: 0.70 	gb5: 0.43 	gb6: 0.54 	gb7: 0.81 	gb8: 0.75 	gb9: 0.62 	gb10: 0.10 	gb11: -1.20 	gb12: -2.57 	gb13: -2.30 	gb14: 0.16 	gb15: -3.44 	gb16: -0.11 	gb17: -2.04 	gb18: 1.83 	gb19: 0.65
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.56 	ga1: 2.56 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.71 	gb1: 0.79 	gb2: 0.48 	gb3: 0.46 	gb4: 0.72 	gb5: 0.52 	gb6: 0.86 	gb7: 0.64 	gb8: 0.57 	gb9: 0.45 	gb10: 1.29 	gb11: -0.96 	gb12: 3.27 	gb13: -2.04 	gb14: 3.12 	gb15: -1.16 	gb16: 1.81 	gb17: 0.63 	gb18: 3.55 	gb19: -3.48
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.15 	ga1: 3.10 	ga2: 0.33 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.50 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.40 	gb1: 0.24 	gb2: 0.39 	gb3: 0.35 	gb4: 0.34 	gb5: 0.47 	gb6: 0.27 	gb7: 0.55 	gb8: 0.33 	gb9: 0.50 	gb10: 0.43 	gb11: -1.19 	gb12: 0.11 	gb13: 2.41 	gb14: 3.26 	gb15: 1.38 	gb16: 2.28 	gb17: -3.80 	gb18: 2.28 	gb19: -3.66
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.98 	ga1: 1.96 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.13 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.62 	gb1: 0.77 	gb2: 0.61 	gb3: 0.76 	gb4: 0.56 	gb5: 0.56 	gb6: 0.78 	gb7: 0.47 	gb8: 0.74 	gb9: 0.18 	gb10: -2.10 	gb11: -2.40 	gb12: 1.75 	gb13: 1.78 	gb14: -0.63 	gb15: 1.25 	gb16: -1.17 	gb17: 0.31 	gb18: 2.74 	gb19: -2.58
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.09 	ga1: 5.68 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.76 	gb1: 0.37 	gb2: 0.53 	gb3: 0.84 	gb4: 0.83 	gb5: 0.49 	gb6: 0.46 	gb7: 0.70 	gb8: 0.51 	gb9: 0.42 	gb10: 0.08 	gb11: -4.33 	gb12: 1.37 	gb13: -1.03 	gb14: 2.72 	gb15: 2.95 	gb16: 3.10 	gb17: -3.28 	gb18: 0.09 	gb19: -0.63
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.43 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.48 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.53 	ga11: 0.00 	gb0: 0.90 	gb1: 0.54 	gb2: 0.28 	gb3: 0.86 	gb4: 0.73 	gb5: 0.27 	gb6: 0.32 	gb7: 0.34 	gb8: 0.70 	gb9: 0.20 	gb10: -0.10 	gb11: 3.15 	gb12: 3.47 	gb13: -1.15 	gb14: -1.50 	gb15: -1.23 	gb16: -2.54 	gb17: 2.00 	gb18: 3.76 	gb19: 2.32
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.27 	ga1: 4.24 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.43 	gb1: 0.49 	gb2: 0.32 	gb3: 0.66 	gb4: 0.69 	gb5: 0.67 	gb6: 0.07 	gb7: 0.10 	gb8: 0.23 	gb9: 0.90 	gb10: 3.36 	gb11: 0.57 	gb12: 2.17 	gb13: -1.44 	gb14: -3.44 	gb15: 2.21 	gb16: -0.09 	gb17: -2.36 	gb18: -3.48 	gb19: -3.01
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.38 	ga1: 5.02 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.83 	gb1: 0.48 	gb2: 0.36 	gb3: 0.20 	gb4: 0.72 	gb5: 0.78 	gb6: 0.16 	gb7: 0.87 	gb8: 0.73 	gb9: 0.67 	gb10: -0.56 	gb11: 2.60 	gb12: 1.94 	gb13: 2.88 	gb14: -2.87 	gb15: -1.88 	gb16: -2.56 	gb17: -2.88 	gb18: -0.88 	gb19: 0.64
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.49 	ga1: 0.22 	ga2: 0.00 	ga3: 0.59 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.61 	gb0: 0.87 	gb1: 0.71 	gb2: 0.60 	gb3: 0.17 	gb4: 0.23 	gb5: 0.79 	gb6: 0.31 	gb7: 0.72 	gb8: 0.80 	gb9: 0.41 	gb10: 1.34 	gb11: 1.26 	gb12: -1.23 	gb13: -1.96 	gb14: 3.13 	gb15: 1.22 	gb16: 3.28 	gb17: 0.90 	gb18: 1.68 	gb19: -1.43
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.01 	ga1: 0.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.21 	gb1: 0.94 	gb2: 0.59 	gb3: 0.19 	gb4: 0.71 	gb5: 0.79 	gb6: 0.40 	gb7: 0.52 	gb8: 0.34 	gb9: 0.87 	gb10: -4.30 	gb11: -3.38 	gb12: 0.26 	gb13: 4.45 	gb14: 3.99 	gb15: -3.40 	gb16: 3.35 	gb17: -0.78 	gb18: 1.65 	gb19: -2.24
		Population 1
