QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.95 	ga1: 4.23 	ga2: 0.00 	ga3: 0.00 	ga4: 0.34 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.18 	gb1: 0.12 	gb2: 0.27 	gb3: 0.70 	gb4: 0.79 	gb5: 0.24 	gb6: 0.67 	gb7: 0.88 	gb8: 0.83 	gb9: 0.83 	gb10: -2.28 	gb11: 0.04 	gb12: 1.11 	gb13: -1.28 	gb14: 1.48 	gb15: -1.68 	gb16: 3.08 	gb17: -1.99 	gb18: 2.22 	gb19: 3.42
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.19 	ga1: 3.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.14 	gb0: 0.58 	gb1: 0.27 	gb2: 0.12 	gb3: 0.19 	gb4: 0.82 	gb5: 0.47 	gb6: 0.13 	gb7: 0.76 	gb8: 0.31 	gb9: 0.51 	gb10: -1.41 	gb11: 0.47 	gb12: 2.47 	gb13: 0.17 	gb14: 0.88 	gb15: 0.77 	gb16: 1.45 	gb17: 2.40 	gb18: -0.66 	gb19: -1.55
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 4.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.42 	gb1: 0.18 	gb2: 0.83 	gb3: 0.80 	gb4: 0.50 	gb5: 0.61 	gb6: 0.75 	gb7: 0.42 	gb8: 0.18 	gb9: 0.87 	gb10: 3.39 	gb11: -3.41 	gb12: 3.24 	gb13: 2.88 	gb14: 3.36 	gb15: 3.69 	gb16: 0.96 	gb17: -1.32 	gb18: -2.22 	gb19: 1.84
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.77 	ga1: 6.14 	ga2: 0.00 	ga3: 0.00 	ga4: 0.22 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.47 	gb1: 0.29 	gb2: 0.38 	gb3: 0.07 	gb4: 0.61 	gb5: 0.21 	gb6: 0.59 	gb7: 0.18 	gb8: 0.26 	gb9: 0.64 	gb10: -1.73 	gb11: 3.20 	gb12: -3.54 	gb13: -2.13 	gb14: 0.94 	gb15: -1.56 	gb16: 1.63 	gb17: 0.77 	gb18: 2.28 	gb19: 0.64
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.35 	ga1: 3.56 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.10 	gb1: 0.58 	gb2: 0.68 	gb3: 0.24 	gb4: 0.78 	gb5: 0.81 	gb6: 0.26 	gb7: 0.53 	gb8: 0.19 	gb9: 0.54 	gb10: -2.09 	gb11: 2.96 	gb12: -1.16 	gb13: -2.35 	gb14: 0.49 	gb15: -1.75 	gb16: 2.24 	gb17: 1.56 	gb18: -2.92 	gb19: 0.22
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.33 	ga1: 4.70 	ga2: 0.14 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.87 	gb1: 0.64 	gb2: 0.46 	gb3: 0.26 	gb4: 0.36 	gb5: 0.55 	gb6: 0.74 	gb7: 0.25 	gb8: 0.77 	gb9: 0.50 	gb10: 3.58 	gb11: -0.99 	gb12: -3.19 	gb13: -2.70 	gb14: 0.58 	gb15: 1.38 	gb16: 0.53 	gb17: -4.36 	gb18: -0.27 	gb19: 1.84
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.27 	ga1: 8.12 	ga2: 0.00 	ga3: 0.77 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.51 	gb1: 0.41 	gb2: 0.72 	gb3: 0.65 	gb4: 0.16 	gb5: 0.67 	gb6: 0.32 	gb7: 0.58 	gb8: 0.67 	gb9: 0.68 	gb10: 2.63 	gb11: 2.97 	gb12: 0.76 	gb13: 2.85 	gb14: -1.71 	gb15: -0.57 	gb16: 0.38 	gb17: 0.88 	gb18: -3.71 	gb19: 3.29
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.81 	ga1: 3.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.63 	gb1: 0.43 	gb2: 0.83 	gb3: 0.65 	gb4: 0.70 	gb5: 0.71 	gb6: 0.66 	gb7: 0.43 	gb8: 0.84 	gb9: 0.39 	gb10: 3.26 	gb11: -3.40 	gb12: 2.72 	gb13: -1.55 	gb14: -0.95 	gb15: 2.70 	gb16: -2.24 	gb17: 2.71 	gb18: 1.41 	gb19: -3.91
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.52 	ga1: 8.72 	ga2: 0.07 	ga3: 0.35 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.36 	gb1: 0.30 	gb2: 0.56 	gb3: 0.61 	gb4: 0.72 	gb5: 0.50 	gb6: 0.19 	gb7: 0.46 	gb8: 0.18 	gb9: 0.70 	gb10: -1.15 	gb11: -2.10 	gb12: -1.49 	gb13: 4.27 	gb14: -2.53 	gb15: -3.01 	gb16: -1.44 	gb17: 0.03 	gb18: -4.08 	gb19: -4.32
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.86 	ga1: 8.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.60 	gb1: 0.09 	gb2: 0.47 	gb3: 0.20 	gb4: 0.57 	gb5: 0.44 	gb6: 0.24 	gb7: 0.86 	gb8: 0.36 	gb9: 0.41 	gb10: -3.87 	gb11: -2.43 	gb12: -4.38 	gb13: 4.14 	gb14: 4.59 	gb15: 2.45 	gb16: 0.93 	gb17: -0.29 	gb18: 1.69 	gb19: -2.26
		Population 1
