QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 30
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.21 	ga1: 4.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.41 	gb1: 0.42 	gb2: 0.64 	gb3: 0.15 	gb4: 0.78 	gb5: 0.23 	gb6: 0.87 	gb7: 0.69 	gb8: 0.79 	gb9: 0.74 	gb10: -3.79 	gb11: 2.39 	gb12: 4.00 	gb13: 0.64 	gb14: -3.81 	gb15: 1.51 	gb16: 2.50 	gb17: -2.95 	gb18: -2.82 	gb19: -3.34
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.63 	ga1: 1.35 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.31 	gb1: 0.65 	gb2: 0.16 	gb3: 0.79 	gb4: 0.27 	gb5: 0.77 	gb6: 0.40 	gb7: 0.87 	gb8: 0.03 	gb9: 0.92 	gb10: -4.29 	gb11: -0.17 	gb12: -1.35 	gb13: -3.42 	gb14: -2.61 	gb15: 3.67 	gb16: -2.25 	gb17: -0.67 	gb18: -3.46 	gb19: -4.07
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.26 	ga1: 5.92 	ga2: 0.74 	ga3: 0.52 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.79 	gb1: 0.40 	gb2: 0.13 	gb3: 0.26 	gb4: 0.82 	gb5: 0.10 	gb6: 0.61 	gb7: 0.74 	gb8: 0.09 	gb9: 0.30 	gb10: -3.19 	gb11: 3.17 	gb12: 2.17 	gb13: 0.53 	gb14: 1.27 	gb15: 2.51 	gb16: 2.42 	gb17: 3.95 	gb18: -2.36 	gb19: -1.19
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 3.04 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.22 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.38 	gb1: 0.68 	gb2: 0.79 	gb3: 0.47 	gb4: 0.92 	gb5: 0.57 	gb6: 0.15 	gb7: 0.24 	gb8: 0.35 	gb9: 0.40 	gb10: 1.03 	gb11: 2.32 	gb12: -0.80 	gb13: -1.57 	gb14: 2.41 	gb15: -0.23 	gb16: 3.91 	gb17: 0.32 	gb18: -3.07 	gb19: -0.97
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.11 	ga1: 3.76 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.73 	gb0: 0.30 	gb1: 0.07 	gb2: 0.78 	gb3: 0.40 	gb4: 0.58 	gb5: 0.17 	gb6: 0.78 	gb7: 0.10 	gb8: 0.57 	gb9: 0.18 	gb10: -0.96 	gb11: 2.47 	gb12: 1.81 	gb13: -2.55 	gb14: -2.94 	gb15: -1.23 	gb16: -0.92 	gb17: 2.34 	gb18: -4.03 	gb19: -3.56
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.48 	ga1: 2.83 	ga2: 0.00 	ga3: 0.48 	ga4: 0.00 	ga5: 0.00 	ga6: 0.66 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.14 	ga11: 0.00 	gb0: 0.23 	gb1: 0.77 	gb2: 0.16 	gb3: 0.69 	gb4: 0.14 	gb5: 0.78 	gb6: 0.55 	gb7: 0.70 	gb8: 0.72 	gb9: 0.57 	gb10: -0.81 	gb11: -1.92 	gb12: 3.39 	gb13: 0.01 	gb14: 2.31 	gb15: -3.44 	gb16: -0.70 	gb17: -1.98 	gb18: 2.75 	gb19: -2.95
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.26 	ga1: 4.84 	ga2: 0.00 	ga3: 0.60 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.10 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.60 	gb1: 0.58 	gb2: 0.81 	gb3: 0.68 	gb4: 0.38 	gb5: 0.30 	gb6: 0.32 	gb7: 0.68 	gb8: 0.49 	gb9: 0.19 	gb10: 1.15 	gb11: -3.03 	gb12: -2.44 	gb13: -0.62 	gb14: -0.68 	gb15: -3.30 	gb16: 0.64 	gb17: 0.00 	gb18: -3.55 	gb19: 1.71
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.15 	ga1: 3.28 	ga2: 0.00 	ga3: 0.54 	ga4: 0.00 	ga5: 0.63 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.60 	gb1: 0.50 	gb2: 0.33 	gb3: 0.42 	gb4: 0.26 	gb5: 0.72 	gb6: 0.55 	gb7: 0.17 	gb8: 0.47 	gb9: 0.75 	gb10: 1.16 	gb11: -3.12 	gb12: 3.82 	gb13: -0.93 	gb14: 2.83 	gb15: -2.39 	gb16: -0.75 	gb17: -4.19 	gb18: 0.23 	gb19: -0.03
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.21 	ga1: 2.33 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.17 	gb1: 0.18 	gb2: 0.78 	gb3: 0.21 	gb4: 0.24 	gb5: 0.51 	gb6: 0.46 	gb7: 0.50 	gb8: 0.61 	gb9: 0.28 	gb10: -0.52 	gb11: -1.06 	gb12: 2.65 	gb13: -1.41 	gb14: 1.69 	gb15: 1.77 	gb16: 2.02 	gb17: 3.68 	gb18: -4.18 	gb19: -1.29
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.17 	ga1: 6.40 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.36 	gb1: 0.04 	gb2: 0.62 	gb3: 0.28 	gb4: 0.58 	gb5: 0.16 	gb6: 0.55 	gb7: 0.74 	gb8: 0.01 	gb9: 0.67 	gb10: -0.60 	gb11: 0.04 	gb12: 3.79 	gb13: -0.77 	gb14: -3.46 	gb15: 3.44 	gb16: 2.86 	gb17: -2.32 	gb18: -4.10 	gb19: -4.41
		Population 1
