QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	ga0: -4.34 	ga1: 4.10 	ga2: 0.00 	ga3: 0.22 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.18 	gb1: 2.40 	gb2: 0.26 	gb3: -0.08 	gb4: 0.04 	gb5: 0.84 	gb6: 0.41 	gb7: -1.64 	gb8: 1.85 	gb9: -0.42
			Robot 1 	f: 0.00 	ga0: 0.31 	ga1: 5.60 	ga2: 0.06 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.08 	gb1: 3.04 	gb2: 0.42 	gb3: -0.20 	gb4: 0.02 	gb5: -0.50 	gb6: 0.06 	gb7: -1.83 	gb8: -0.38 	gb9: -0.10
			Robot 2 	f: 0.00 	ga0: 0.55 	ga1: 5.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.33 	gb1: 2.61 	gb2: 0.28 	gb3: 0.23 	gb4: 0.11 	gb5: 1.10 	gb6: -0.14 	gb7: -0.06 	gb8: 0.76 	gb9: -0.95
			Robot 3 	f: 0.00 	ga0: 0.70 	ga1: 6.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.05 	gb0: 0.06 	gb1: 3.15 	gb2: 0.22 	gb3: -0.06 	gb4: 0.18 	gb5: -0.74 	gb6: -0.03 	gb7: -1.01 	gb8: 0.35 	gb9: -0.46
			Robot 4 	f: 0.00 	ga0: 0.64 	ga1: 7.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.03 	gb1: 3.87 	gb2: 0.22 	gb3: -0.00 	gb4: -0.10 	gb5: -1.35 	gb6: -0.01 	gb7: -0.27 	gb8: -0.15 	gb9: -1.26
			Robot 5 	f: 0.00 	ga0: 0.37 	ga1: 4.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.16 	gb0: 0.11 	gb1: 2.03 	gb2: -0.02 	gb3: -0.18 	gb4: -0.04 	gb5: 0.24 	gb6: -0.04 	gb7: 0.23 	gb8: 1.40 	gb9: -0.98
			Robot 6 	f: 0.00 	ga0: -4.69 	ga1: 4.70 	ga2: 0.00 	ga3: 0.10 	ga4: 0.12 	ga5: 0.00 	ga6: 0.00 	gb0: -2.49 	gb1: 2.37 	gb2: 0.18 	gb3: -0.13 	gb4: 0.19 	gb5: 0.14 	gb6: 0.36 	gb7: -1.55 	gb8: 0.64 	gb9: -1.52
			Robot 7 	f: 0.00 	ga0: -4.70 	ga1: 6.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.65 	gb1: 3.58 	gb2: 0.14 	gb3: 0.12 	gb4: -0.10 	gb5: 1.06 	gb6: -0.38 	gb7: -1.25 	gb8: -0.25 	gb9: 0.24
			Robot 8 	f: 0.00 	ga0: 0.31 	ga1: 0.62 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.18 	gb1: 0.20 	gb2: 0.26 	gb3: 0.15 	gb4: -0.19 	gb5: -1.25 	gb6: -1.33 	gb7: -1.48 	gb8: 1.57 	gb9: -0.75
			Robot 9 	f: 0.00 	ga0: 0.37 	ga1: 6.85 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.13 	gb1: 3.73 	gb2: 0.01 	gb3: -0.23 	gb4: -0.20 	gb5: 0.51 	gb6: 0.57 	gb7: -1.36 	gb8: 1.35 	gb9: 0.47
			Robot 10 	f: 0.00 	ga0: -4.34 	ga1: 3.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.16 	gb1: 2.12 	gb2: 0.27 	gb3: 0.01 	gb4: 0.09 	gb5: -0.45 	gb6: -1.05 	gb7: -1.94 	gb8: -0.13 	gb9: -0.10
			Robot 11 	f: 0.00 	ga0: 0.54 	ga1: 4.88 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.12 	gb1: 2.51 	gb2: -0.02 	gb3: 0.06 	gb4: -0.16 	gb5: 0.50 	gb6: -0.81 	gb7: -1.92 	gb8: 1.63 	gb9: -0.27
			Robot 12 	f: 0.00 	ga0: -4.80 	ga1: 2.45 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.57 	gb1: 1.31 	gb2: 0.34 	gb3: -0.11 	gb4: 0.02 	gb5: 1.08 	gb6: -0.84 	gb7: -0.51 	gb8: -0.37 	gb9: -0.42
			Robot 13 	f: 0.00 	ga0: 0.50 	ga1: 7.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.03 	gb1: 3.94 	gb2: -0.03 	gb3: -0.18 	gb4: -0.04 	gb5: -0.71 	gb6: 0.50 	gb7: 0.09 	gb8: 0.08 	gb9: -1.26
			Robot 14 	f: 0.00 	ga0: 0.58 	ga1: 7.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.58 	gb1: 0.39 	gb2: 0.76 	gb3: 0.09 	gb4: 0.28 	gb5: -0.49 	gb6: -2.66 	gb7: -3.55 	gb8: 2.59 	gb9: -1.63
		Population 1
			Robot 0 	f: -542.32 	ga0: -1.88 	ga1: 5.70 	ga2: 0.00 	ga3: 0.11 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -1.61 	gb1: 3.62 	gb2: 0.32 	gb3: -0.02 	gb4: 0.09 	gb5: 0.11 	gb6: -0.57 	gb7: -1.30 	gb8: 1.13 	gb9: -0.54
