QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 150
MaxTime: 1000
EnvMutationRate: 0.2
QtdSensors: 3
EnableSensor: 0.7

Environment 0	 h: 3	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -956.39 	mf: -956.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.22 	gb0: 0.68 	gb1: 0.34 	gb2: 0.35 	gb3: 1.54 	gb4: 3.04 	gb5: 2.42
			Robot 1 	f: -570.51 	mf: -570.00 	ga0: 1.00 	ga1: 8.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.47 	gb0: 0.60 	gb1: 0.48 	gb2: 0.45 	gb3: 3.11 	gb4: 2.80 	gb5: 2.29
			Robot 2 	f: 516.79 	mf: 516.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.27 	gb1: 0.73 	gb2: 0.30 	gb3: 1.60 	gb4: 4.92 	gb5: 3.31
			Robot 3 	f: -1472.68 	mf: -1472.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.53 	gb1: 0.56 	gb2: 0.35 	gb3: 1.89 	gb4: 3.66 	gb5: 2.64
			Robot 4 	f: 48.41 	mf: 48.00 	ga0: 1.00 	ga1: 4.53 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.39 	gb1: 0.75 	gb2: 0.40 	gb3: 2.43 	gb4: 3.61 	gb5: 3.10
			Robot 5 	f: -708.81 	mf: -708.00 	ga0: 1.00 	ga1: 9.50 	ga2: 0.00 	ga3: 0.32 	ga4: 0.00 	gb0: 0.36 	gb1: 0.60 	gb2: 0.39 	gb3: 2.28 	gb4: 2.18 	gb5: 2.54
			Robot 6 	f: -1388.15 	mf: -1388.00 	ga0: 1.00 	ga1: 5.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.38 	gb1: 0.71 	gb2: 0.34 	gb3: 2.40 	gb4: 2.92 	gb5: 1.45
			Robot 7 	f: -727.46 	mf: -727.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.08 	gb0: 0.31 	gb1: 0.61 	gb2: 0.13 	gb3: 1.58 	gb4: 3.89 	gb5: 3.44
			Robot 8 	f: -128.52 	mf: -128.00 	ga0: 0.50 	ga1: 8.93 	ga2: 0.38 	ga3: 0.06 	ga4: 0.00 	gb0: 0.19 	gb1: 0.30 	gb2: 0.51 	gb3: 1.00 	gb4: 2.81 	gb5: 3.87
			Robot 9 	f: 19.89 	mf: 19.00 	ga0: 1.00 	ga1: 8.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.35 	gb1: 0.42 	gb2: 0.48 	gb3: 1.37 	gb4: 3.29 	gb5: 3.26
			Robot 10 	f: -840.45 	mf: -840.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.57 	gb1: 0.64 	gb2: 0.67 	gb3: 1.95 	gb4: 3.17 	gb5: 1.73
			Robot 11 	f: -743.79 	mf: -743.00 	ga0: 1.00 	ga1: 8.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.62 	gb1: 0.75 	gb2: 0.47 	gb3: 2.53 	gb4: 4.83 	gb5: 3.58
