QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 150
MaxTime: 3000
EnvMutationRate: 0.2
QtdSensors: 3
EnableSensor: 0.7

Environment 0	 h: 3	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -1752.55 	mf: -1752.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.58 	gb1: 0.70 	gb2: 0.36 	gb3: 3.05 	gb4: 2.27 	gb5: 3.55
			Robot 1 	f: -1644.89 	mf: -1644.00 	ga0: 1.00 	ga1: 8.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.28 	gb1: 0.47 	gb2: 0.46 	gb3: 2.67 	gb4: 4.44 	gb5: 3.05
			Robot 2 	f: 1824.61 	mf: 1824.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.27 	gb1: 0.73 	gb2: 0.30 	gb3: 1.60 	gb4: 4.92 	gb5: 3.31
			Robot 3 	f: -2850.43 	mf: -2850.00 	ga0: 1.00 	ga1: 6.29 	ga2: 0.03 	ga3: 0.00 	ga4: 0.00 	gb0: 0.15 	gb1: 0.65 	gb2: 0.24 	gb3: 3.45 	gb4: 4.79 	gb5: 3.04
			Robot 4 	f: -2119.37 	mf: -2119.00 	ga0: 1.00 	ga1: 7.07 	ga2: 0.00 	ga3: 0.29 	ga4: 0.37 	gb0: 0.28 	gb1: 0.30 	gb2: 0.44 	gb3: 3.33 	gb4: 2.95 	gb5: 1.98
			Robot 5 	f: -50.49 	mf: -50.00 	ga0: 1.00 	ga1: 9.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.52 	gb1: 0.47 	gb2: 0.21 	gb3: 1.78 	gb4: 2.30 	gb5: 2.06
			Robot 6 	f: -3196.53 	mf: -3196.00 	ga0: 1.00 	ga1: 7.19 	ga2: 0.22 	ga3: 0.00 	ga4: 0.00 	gb0: 0.35 	gb1: 0.51 	gb2: 0.55 	gb3: 2.49 	gb4: 3.59 	gb5: 3.78
			Robot 7 	f: -56.10 	mf: -56.00 	ga0: 1.00 	ga1: 3.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.40 	gb1: 0.48 	gb2: 0.48 	gb3: 1.72 	gb4: 3.44 	gb5: 1.85
			Robot 8 	f: 309.87 	mf: 309.00 	ga0: 0.50 	ga1: 8.93 	ga2: 0.00 	ga3: 0.46 	ga4: 0.00 	gb0: 0.40 	gb1: 0.48 	gb2: 0.36 	gb3: 0.99 	gb4: 4.02 	gb5: 2.92
			Robot 9 	f: -941.95 	mf: -941.00 	ga0: 1.00 	ga1: 8.93 	ga2: 0.00 	ga3: 0.33 	ga4: 0.19 	gb0: 0.33 	gb1: 0.81 	gb2: 0.52 	gb3: 2.81 	gb4: 2.66 	gb5: 2.66
			Robot 10 	f: -866.37 	mf: -866.00 	ga0: 1.00 	ga1: 7.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.21 	gb1: 0.69 	gb2: 0.49 	gb3: 3.21 	gb4: 2.16 	gb5: 3.29
			Robot 11 	f: -3232.36 	mf: -3232.00 	ga0: 0.50 	ga1: 8.43 	ga2: 0.00 	ga3: 0.35 	ga4: 0.00 	gb0: 0.63 	gb1: 0.49 	gb2: 0.37 	gb3: 2.26 	gb4: 3.96 	gb5: 2.44
			Robot 12 	f: 371.84 	mf: 371.00 	ga0: 1.00 	ga1: 8.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.22 	gb0: 0.39 	gb1: 0.62 	gb2: 0.23 	gb3: 2.63 	gb4: 3.40 	gb5: 2.55
			Robot 13 	f: -1165.48 	mf: -1165.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.49 	gb1: 0.40 	gb2: 0.35 	gb3: 2.51 	gb4: 4.15 	gb5: 3.57
			Robot 14 	f: -803.20 	mf: -803.00 	ga0: 1.00 	ga1: 8.63 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.15 	gb1: 0.82 	gb2: 0.44 	gb3: 2.27 	gb4: 2.51 	gb5: 1.84
		Population 1
			Robot 0 	f: -1044.58 	mf: -1398.00 	ga0: 0.65 	ga1: 9.19 	ga2: 0.00 	ga3: 0.32 	ga4: 0.00 	gb0: 0.41 	gb1: 0.59 	gb2: 0.60 	gb3: 1.97 	gb4: 2.00 	gb5: 1.64
			Robot 1 	f: -695.38 	mf: -1169.50 	ga0: 0.65 	ga1: 8.85 	ga2: 0.00 	ga3: 0.32 	ga4: 0.00 	gb0: 0.20 	gb1: 0.42 	gb2: 0.43 	gb3: 1.34 	gb4: 4.37 	gb5: 2.57
