QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 40
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.34 	ga1: 6.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.04 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.10 	gb0: 0.70 	gb1: 0.63 	gb2: 0.60 	gb3: 0.70 	gb4: 0.79 	gb5: 0.60 	gb6: 0.72 	gb7: 0.29 	gb8: 0.21 	gb9: 0.38 	gb10: -0.21 	gb11: 3.59 	gb12: 0.21 	gb13: 2.83 	gb14: -1.74 	gb15: -3.07 	gb16: 3.31 	gb17: -1.61 	gb18: -1.58 	gb19: 1.10
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.54 	ga1: 4.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.26 	gb1: 0.24 	gb2: 0.22 	gb3: 0.65 	gb4: 0.75 	gb5: 0.66 	gb6: 0.80 	gb7: 0.42 	gb8: 0.94 	gb9: 0.55 	gb10: 2.38 	gb11: 1.23 	gb12: 2.10 	gb13: -3.41 	gb14: 1.84 	gb15: 1.01 	gb16: 3.33 	gb17: -1.79 	gb18: -1.24 	gb19: -2.03
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.73 	ga1: 5.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.32 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.59 	gb1: 0.42 	gb2: 0.86 	gb3: 0.37 	gb4: 0.82 	gb5: 0.87 	gb6: 0.64 	gb7: 0.10 	gb8: 0.38 	gb9: 0.49 	gb10: 1.10 	gb11: 1.86 	gb12: 1.95 	gb13: -1.55 	gb14: 1.60 	gb15: -3.80 	gb16: 3.68 	gb17: -2.48 	gb18: -2.28 	gb19: 2.74
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.30 	ga1: 6.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.68 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.75 	gb1: 0.80 	gb2: 0.82 	gb3: 0.74 	gb4: 0.66 	gb5: 0.17 	gb6: 0.64 	gb7: 0.34 	gb8: 0.36 	gb9: 0.13 	gb10: 2.31 	gb11: 2.51 	gb12: 3.23 	gb13: -2.76 	gb14: 1.66 	gb15: -3.17 	gb16: -0.99 	gb17: 2.46 	gb18: 4.27 	gb19: -1.88
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.82 	ga1: 1.36 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.34 	gb1: 0.03 	gb2: 0.54 	gb3: 0.49 	gb4: 0.47 	gb5: 0.32 	gb6: 0.63 	gb7: 0.74 	gb8: 0.37 	gb9: 0.57 	gb10: 0.67 	gb11: -3.63 	gb12: -0.56 	gb13: 0.41 	gb14: -0.60 	gb15: 0.88 	gb16: 0.35 	gb17: -0.74 	gb18: -0.77 	gb19: 2.81
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.23 	ga1: 5.74 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.61 	ga11: 0.00 	gb0: 0.59 	gb1: 0.70 	gb2: 0.27 	gb3: 0.79 	gb4: 0.49 	gb5: 0.54 	gb6: 0.68 	gb7: 0.23 	gb8: 0.38 	gb9: 0.33 	gb10: -1.39 	gb11: 2.08 	gb12: -1.35 	gb13: -3.40 	gb14: -2.52 	gb15: 1.55 	gb16: -1.26 	gb17: -3.50 	gb18: 1.46 	gb19: 2.02
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.08 	ga1: 1.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.42 	gb0: 0.29 	gb1: 0.43 	gb2: 0.52 	gb3: 0.79 	gb4: 0.18 	gb5: 0.25 	gb6: 0.65 	gb7: 0.84 	gb8: 0.59 	gb9: 0.84 	gb10: 2.46 	gb11: -1.23 	gb12: 1.92 	gb13: 2.64 	gb14: -3.68 	gb15: -2.81 	gb16: -0.07 	gb17: 1.14 	gb18: 3.40 	gb19: 3.79
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 6.16 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.27 	gb1: 0.72 	gb2: 0.14 	gb3: 0.75 	gb4: 0.14 	gb5: 0.31 	gb6: 0.68 	gb7: 0.19 	gb8: 0.33 	gb9: 0.08 	gb10: 3.18 	gb11: -1.15 	gb12: -2.81 	gb13: -1.71 	gb14: -0.34 	gb15: -3.73 	gb16: 3.85 	gb17: 1.34 	gb18: -2.94 	gb19: -2.97
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.19 	ga1: 3.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.69 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.45 	gb1: 0.31 	gb2: 0.89 	gb3: 0.62 	gb4: 0.30 	gb5: 0.71 	gb6: 0.58 	gb7: 0.29 	gb8: 0.20 	gb9: 0.77 	gb10: 4.24 	gb11: 2.07 	gb12: -1.18 	gb13: -2.42 	gb14: 2.21 	gb15: 0.68 	gb16: -1.08 	gb17: 1.29 	gb18: 1.85 	gb19: -2.71
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.44 	ga1: 2.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.76 	gb1: 0.24 	gb2: 0.14 	gb3: 0.82 	gb4: 0.07 	gb5: 0.77 	gb6: 0.02 	gb7: 0.28 	gb8: 0.72 	gb9: 0.13 	gb10: 1.21 	gb11: -1.98 	gb12: 3.44 	gb13: -1.62 	gb14: -3.27 	gb15: -2.65 	gb16: 0.46 	gb17: -4.16 	gb18: 4.54 	gb19: 2.42
		Population 1
