QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.12 	ga1: 5.88 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.37 	gb1: 0.38 	gb2: 0.44 	gb3: 0.68 	gb4: 0.72 	gb5: 0.88 	gb6: 0.88 	gb7: 0.07 	gb8: 0.39 	gb9: 0.62 	gb10: 3.82 	gb11: 2.37 	gb12: -2.13 	gb13: 2.58 	gb14: -2.38 	gb15: -1.67 	gb16: -0.36 	gb17: 2.41 	gb18: -1.10 	gb19: -1.51
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.63 	ga1: 5.34 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.40 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.30 	gb1: 0.07 	gb2: 0.48 	gb3: 0.73 	gb4: 0.82 	gb5: 0.44 	gb6: 0.20 	gb7: 0.06 	gb8: 0.60 	gb9: 0.70 	gb10: -1.37 	gb11: 3.06 	gb12: 1.93 	gb13: 3.02 	gb14: 1.30 	gb15: 3.44 	gb16: -1.24 	gb17: -4.45 	gb18: -2.23 	gb19: -0.62
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.77 	ga1: 7.86 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.74 	gb1: 0.07 	gb2: 0.22 	gb3: 0.24 	gb4: 0.11 	gb5: 0.78 	gb6: 0.29 	gb7: 0.31 	gb8: 0.52 	gb9: 0.93 	gb10: 1.55 	gb11: 0.38 	gb12: -1.59 	gb13: -2.92 	gb14: 0.61 	gb15: 1.60 	gb16: -1.71 	gb17: -3.19 	gb18: 0.05 	gb19: 2.28
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.36 	ga1: 4.68 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.73 	gb1: 0.49 	gb2: 0.81 	gb3: 0.38 	gb4: 0.27 	gb5: 0.14 	gb6: 0.53 	gb7: 0.29 	gb8: 0.51 	gb9: 0.60 	gb10: 3.62 	gb11: 0.60 	gb12: -3.81 	gb13: 1.97 	gb14: 1.52 	gb15: 0.91 	gb16: 3.34 	gb17: -3.81 	gb18: 0.12 	gb19: 2.16
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.48 	ga1: 8.64 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.77 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.69 	gb1: 0.19 	gb2: 0.32 	gb3: 0.38 	gb4: 0.13 	gb5: 0.55 	gb6: 0.77 	gb7: 0.67 	gb8: 0.77 	gb9: 0.95 	gb10: 1.16 	gb11: -0.03 	gb12: 0.36 	gb13: 0.70 	gb14: 2.17 	gb15: 3.57 	gb16: -0.37 	gb17: 0.47 	gb18: 3.87 	gb19: 0.87
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.36 	ga1: 4.76 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.47 	ga11: 0.00 	gb0: 0.39 	gb1: 0.69 	gb2: 0.50 	gb3: 0.71 	gb4: 0.10 	gb5: 0.36 	gb6: 0.67 	gb7: 0.84 	gb8: 0.85 	gb9: 0.86 	gb10: -2.33 	gb11: -0.58 	gb12: 0.00 	gb13: -0.58 	gb14: -1.21 	gb15: -1.13 	gb16: 0.62 	gb17: -4.51 	gb18: -0.11 	gb19: 1.88
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 6.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.38 	ga6: 0.00 	ga7: 0.00 	ga8: 0.22 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.69 	gb1: 0.40 	gb2: 0.74 	gb3: 0.41 	gb4: 0.26 	gb5: 0.18 	gb6: 0.75 	gb7: 0.64 	gb8: 0.14 	gb9: 0.95 	gb10: 0.17 	gb11: 0.08 	gb12: 0.02 	gb13: -3.62 	gb14: 3.24 	gb15: -2.22 	gb16: -2.38 	gb17: -2.80 	gb18: 2.82 	gb19: 2.49
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.63 	ga1: 3.48 	ga2: 0.00 	ga3: 0.48 	ga4: 0.09 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.87 	gb1: 0.10 	gb2: 0.68 	gb3: 0.67 	gb4: 0.71 	gb5: 0.33 	gb6: 0.29 	gb7: 0.75 	gb8: 0.74 	gb9: 0.75 	gb10: 2.29 	gb11: -2.09 	gb12: 1.19 	gb13: 2.43 	gb14: -1.01 	gb15: 3.54 	gb16: 2.63 	gb17: -2.09 	gb18: -0.30 	gb19: -1.81
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.89 	ga1: 4.38 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.11 	ga9: 0.00 	ga10: 0.58 	ga11: 0.00 	gb0: 0.37 	gb1: 0.48 	gb2: 0.85 	gb3: 0.54 	gb4: 0.67 	gb5: 0.32 	gb6: 0.31 	gb7: 0.38 	gb8: 0.70 	gb9: 0.39 	gb10: 3.34 	gb11: -3.06 	gb12: -2.11 	gb13: 3.96 	gb14: 1.54 	gb15: -3.86 	gb16: -1.94 	gb17: -2.19 	gb18: -0.39 	gb19: 1.93
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.46 	ga1: 7.38 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.70 	ga10: 0.00 	ga11: 0.00 	gb0: 0.71 	gb1: 0.72 	gb2: 0.81 	gb3: 0.94 	gb4: 0.63 	gb5: 0.27 	gb6: 0.36 	gb7: 0.53 	gb8: 0.50 	gb9: 0.26 	gb10: 3.45 	gb11: 2.40 	gb12: -3.51 	gb13: 2.81 	gb14: -4.13 	gb15: 1.57 	gb16: 1.19 	gb17: -3.81 	gb18: -2.81 	gb19: -3.88
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 1.27 	ga1: 7.98 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.63 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.70 	gb1: 0.36 	gb2: 0.76 	gb3: 0.49 	gb4: 0.56 	gb5: 0.47 	gb6: 0.46 	gb7: 0.39 	gb8: 0.61 	gb9: 0.42 	gb10: -0.46 	gb11: 4.20 	gb12: 3.48 	gb13: -3.83 	gb14: 1.69 	gb15: -0.91 	gb16: 1.09 	gb17: -3.47 	gb18: -2.67 	gb19: -1.12
