QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.31 	ga1: 2.76 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.14 	gb1: 0.17 	gb2: 0.22 	gb3: 0.34 	gb4: 0.19 	gb5: 0.59 	gb6: 0.41 	gb7: 0.50 	gb8: 0.84 	gb9: 0.43 	gb10: 2.83 	gb11: 1.87 	gb12: -1.90 	gb13: -1.72 	gb14: 0.19 	gb15: -1.77 	gb16: 4.18 	gb17: -0.17 	gb18: 3.14 	gb19: -3.00
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.03 	ga1: 7.40 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.26 	ga11: 0.00 	gb0: 0.80 	gb1: 0.42 	gb2: 0.70 	gb3: 0.31 	gb4: 0.49 	gb5: 0.18 	gb6: 0.22 	gb7: 0.47 	gb8: 0.18 	gb9: 0.49 	gb10: -0.50 	gb11: 3.65 	gb12: 2.77 	gb13: -0.11 	gb14: -1.79 	gb15: 1.62 	gb16: -3.24 	gb17: 0.51 	gb18: -0.88 	gb19: 0.23
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 8.54 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.59 	gb1: 0.51 	gb2: 0.82 	gb3: 0.62 	gb4: 0.51 	gb5: 0.10 	gb6: 0.18 	gb7: 0.16 	gb8: 0.20 	gb9: 0.31 	gb10: -1.16 	gb11: 3.01 	gb12: -1.60 	gb13: 0.15 	gb14: 0.93 	gb15: -1.25 	gb16: -0.31 	gb17: -2.27 	gb18: -2.68 	gb19: 1.13
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.95 	ga1: 2.72 	ga2: 0.43 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.35 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.32 	gb1: 0.83 	gb2: 0.82 	gb3: 0.44 	gb4: 0.12 	gb5: 0.42 	gb6: 0.19 	gb7: 0.95 	gb8: 0.95 	gb9: 0.45 	gb10: -0.93 	gb11: -2.94 	gb12: 4.43 	gb13: -2.04 	gb14: -1.01 	gb15: -2.36 	gb16: -1.52 	gb17: 2.29 	gb18: -1.74 	gb19: -2.82
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.94 	ga1: 1.93 	ga2: 0.20 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.18 	gb1: 0.51 	gb2: 0.25 	gb3: 0.69 	gb4: 0.48 	gb5: 0.62 	gb6: 0.70 	gb7: 0.38 	gb8: 0.62 	gb9: 0.56 	gb10: 3.39 	gb11: -1.03 	gb12: -1.44 	gb13: -2.73 	gb14: -2.80 	gb15: 4.09 	gb16: -1.64 	gb17: -2.46 	gb18: -0.05 	gb19: 0.28
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.34 	ga1: 5.06 	ga2: 0.00 	ga3: 0.00 	ga4: 0.30 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.83 	gb1: 0.83 	gb2: 0.65 	gb3: 0.90 	gb4: 0.62 	gb5: 0.21 	gb6: 0.25 	gb7: 0.35 	gb8: 0.54 	gb9: 0.61 	gb10: 2.24 	gb11: 0.26 	gb12: 2.51 	gb13: 2.48 	gb14: 4.05 	gb15: 4.00 	gb16: -1.72 	gb17: 3.01 	gb18: 0.07 	gb19: 3.13
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.53 	ga1: 8.24 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.69 	gb1: 0.22 	gb2: 0.09 	gb3: 0.34 	gb4: 0.71 	gb5: 0.25 	gb6: 0.56 	gb7: 0.66 	gb8: 0.41 	gb9: 0.08 	gb10: -3.54 	gb11: -0.64 	gb12: -0.35 	gb13: 3.91 	gb14: 1.40 	gb15: -2.37 	gb16: 2.79 	gb17: -2.83 	gb18: -2.83 	gb19: 1.32
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.11 	ga1: 8.42 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.56 	ga10: 0.00 	ga11: 0.00 	gb0: 0.72 	gb1: 0.56 	gb2: 0.17 	gb3: 0.46 	gb4: 0.64 	gb5: 0.70 	gb6: 0.72 	gb7: 0.60 	gb8: 0.70 	gb9: 0.61 	gb10: 1.17 	gb11: 2.33 	gb12: 2.95 	gb13: 1.23 	gb14: 3.62 	gb15: -0.95 	gb16: -3.74 	gb17: 1.77 	gb18: -1.44 	gb19: -0.39
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.69 	ga1: 3.02 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.09 	gb1: 0.73 	gb2: 0.58 	gb3: 0.63 	gb4: 0.13 	gb5: 0.36 	gb6: 0.84 	gb7: 0.76 	gb8: 0.52 	gb9: 0.72 	gb10: 2.46 	gb11: 3.41 	gb12: -0.91 	gb13: -3.06 	gb14: 1.15 	gb15: 0.59 	gb16: 2.63 	gb17: -1.57 	gb18: 3.65 	gb19: 3.07
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.38 	ga1: 6.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.77 	gb1: 0.71 	gb2: 0.66 	gb3: 0.78 	gb4: 0.66 	gb5: 0.87 	gb6: 0.86 	gb7: 0.56 	gb8: 0.95 	gb9: 0.60 	gb10: -1.20 	gb11: -4.11 	gb12: 1.90 	gb13: -2.21 	gb14: -1.21 	gb15: 3.17 	gb16: 1.89 	gb17: 4.66 	gb18: 4.52 	gb19: 0.36
		Population 1
