QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 60
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 50
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.1	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.19 	ga1: 6.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.25 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.37 	gb1: 0.37 	gb2: 0.50 	gb3: 0.39 	gb4: 0.15 	gb5: 0.69 	gb6: 0.68 	gb7: 0.36 	gb8: 0.63 	gb9: 0.29 	gb10: -1.49 	gb11: -2.70 	gb12: -0.87 	gb13: -2.75 	gb14: -1.32 	gb15: 0.61 	gb16: -3.02 	gb17: -0.62 	gb18: 2.46 	gb19: 1.05
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.33 	ga1: 3.16 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.38 	gb1: 0.50 	gb2: 0.45 	gb3: 0.39 	gb4: 0.65 	gb5: 0.73 	gb6: 0.23 	gb7: 0.38 	gb8: 0.92 	gb9: 0.70 	gb10: 3.05 	gb11: -2.20 	gb12: -1.86 	gb13: -1.78 	gb14: -2.76 	gb15: 3.01 	gb16: 2.51 	gb17: 3.41 	gb18: 0.13 	gb19: 2.76
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.14 	ga1: 6.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.44 	gb1: 0.21 	gb2: 0.61 	gb3: 0.13 	gb4: 0.88 	gb5: 0.40 	gb6: 0.39 	gb7: 0.81 	gb8: 0.24 	gb9: 0.32 	gb10: -0.35 	gb11: -0.82 	gb12: -2.35 	gb13: -3.67 	gb14: -2.23 	gb15: -1.08 	gb16: -3.94 	gb17: -4.37 	gb18: -2.56 	gb19: -2.04
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.15 	ga1: 2.38 	ga2: 0.21 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.62 	ga10: 0.00 	ga11: 0.00 	gb0: 0.34 	gb1: 0.53 	gb2: 0.11 	gb3: 0.24 	gb4: 0.89 	gb5: 0.75 	gb6: 0.53 	gb7: 0.43 	gb8: 0.28 	gb9: 0.74 	gb10: -2.92 	gb11: -2.45 	gb12: -1.71 	gb13: -3.06 	gb14: -2.74 	gb15: -0.42 	gb16: -0.33 	gb17: 0.20 	gb18: 2.56 	gb19: 1.96
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.22 	ga1: 5.02 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.81 	gb1: 0.16 	gb2: 0.33 	gb3: 0.61 	gb4: 0.56 	gb5: 0.70 	gb6: 0.41 	gb7: 0.10 	gb8: 0.33 	gb9: 0.48 	gb10: 2.49 	gb11: 0.68 	gb12: -0.27 	gb13: -2.23 	gb14: -1.11 	gb15: -1.39 	gb16: -1.57 	gb17: -3.43 	gb18: 1.38 	gb19: 0.33
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.54 	ga1: 1.36 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.09 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.73 	gb1: 0.72 	gb2: 0.34 	gb3: 0.53 	gb4: 0.27 	gb5: 0.39 	gb6: 0.42 	gb7: 0.33 	gb8: 0.89 	gb9: 0.44 	gb10: -3.86 	gb11: 3.39 	gb12: -0.54 	gb13: -1.43 	gb14: 0.74 	gb15: 2.63 	gb16: -0.68 	gb17: -0.97 	gb18: -1.74 	gb19: 2.13
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.48 	ga1: 2.26 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.07 	gb1: 0.17 	gb2: 0.04 	gb3: 0.26 	gb4: 0.80 	gb5: 0.49 	gb6: 0.08 	gb7: 0.77 	gb8: 0.44 	gb9: 0.49 	gb10: -0.60 	gb11: -0.78 	gb12: -0.95 	gb13: -0.80 	gb14: -2.02 	gb15: 1.47 	gb16: 2.58 	gb17: 2.70 	gb18: 2.59 	gb19: -0.87
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.94 	ga1: 1.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.62 	ga7: 0.65 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.82 	gb1: 0.64 	gb2: 0.57 	gb3: 0.83 	gb4: 0.91 	gb5: 0.59 	gb6: 0.10 	gb7: 0.14 	gb8: 0.45 	gb9: 0.24 	gb10: 3.35 	gb11: -3.57 	gb12: -0.22 	gb13: 0.45 	gb14: 3.42 	gb15: -1.52 	gb16: -1.45 	gb17: -2.48 	gb18: -0.55 	gb19: -2.84
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.18 	ga1: 1.24 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.51 	gb0: 0.53 	gb1: 0.55 	gb2: 0.13 	gb3: 0.17 	gb4: 0.17 	gb5: 0.29 	gb6: 0.87 	gb7: 0.77 	gb8: 0.24 	gb9: 0.36 	gb10: 1.59 	gb11: -2.33 	gb12: 1.15 	gb13: -1.52 	gb14: -0.01 	gb15: -1.69 	gb16: 1.47 	gb17: 3.85 	gb18: -0.53 	gb19: 2.67
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.29 	ga1: 2.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.30 	gb1: 0.94 	gb2: 0.19 	gb3: 0.27 	gb4: 0.63 	gb5: 0.93 	gb6: 0.31 	gb7: 0.92 	gb8: 0.51 	gb9: 0.12 	gb10: 2.15 	gb11: -1.85 	gb12: 2.48 	gb13: -0.62 	gb14: -0.97 	gb15: 3.64 	gb16: 3.51 	gb17: -0.51 	gb18: 4.12 	gb19: 4.06
		Population 1
