QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 0 	f: 19.66 	mf: 19.00
			Robot 1 	f: 7.55 	mf: 7.00
			Robot 2 	f: 0.00 	mf: 0.00
			Robot 3 	f: 18.89 	mf: 18.00
			Robot 4 	f: 367.58 	mf: 367.00
			Robot 5 	f: 0.00 	mf: 0.00
			Robot 6 	f: 25.32 	mf: 25.00
			Robot 7 	f: 74.25 	mf: 74.00
			Robot 8 	f: 75.54 	mf: 75.00
			Robot 9 	f: 22.39 	mf: 22.00
		Population 1
			Robot 0 	f: 5.54 	mf: 12.00
			Robot 1 	f: 1.44 	mf: 4.00
			Robot 2 	f: 332.72 	mf: 166.00
			Robot 3 	f: 0.00 	mf: 9.00
			Robot 4 	f: 0.00 	mf: 183.50
			Robot 5 	f: 303.05 	mf: 151.50
			Robot 6 	f: 351.83 	mf: 188.00
			Robot 7 	f: 28.09 	mf: 51.00
			Robot 8 	f: 3.20 	mf: 39.00
			Robot 9 	f: 331.54 	mf: 176.50
		Population 2
			Robot 0 	f: 24.83 	mf: 16.00
			Robot 1 	f: 318.75 	mf: 108.67
			Robot 2 	f: 0.00 	mf: 110.67
			Robot 3 	f: 0.00 	mf: 6.00
			Robot 4 	f: 272.32 	mf: 213.00
			Robot 5 	f: 386.18 	mf: 229.67
			Robot 6 	f: 287.29 	mf: 221.00
			Robot 7 	f: 309.17 	mf: 137.00
			Robot 8 	f: 350.41 	mf: 142.67
			Robot 9 	f: 0.00 	mf: 117.67
		Population 3
			Robot 0 	f: 3.04 	mf: 12.75
			Robot 1 	f: 0.00 	mf: 81.50
			Robot 2 	f: 197.35 	mf: 132.25
			Robot 3 	f: 368.34 	mf: 96.50
			Robot 4 	f: 0.00 	mf: 159.75
			Robot 5 	f: 5.46 	mf: 173.50
			Robot 6 	f: 0.64 	mf: 165.75
			Robot 7 	f: 324.79 	mf: 183.75
			Robot 8 	f: 2.40 	mf: 107.50
			Robot 9 	f: 361.64 	mf: 178.50
		Population 4
			Robot 0 	f: 273.58 	mf: 64.80
			Robot 1 	f: 171.87 	mf: 99.40
			Robot 2 	f: 366.66 	mf: 179.00
			Robot 3 	f: 296.45 	mf: 136.40
			Robot 4 	f: 301.22 	mf: 188.00
			Robot 5 	f: 0.00 	mf: 138.80
			Robot 6 	f: 0.48 	mf: 132.60
			Robot 7 	f: 23.90 	mf: 151.60
			Robot 8 	f: 0.16 	mf: 86.00
			Robot 9 	f: 0.00 	mf: 142.80
		Population 5
			Robot 0 	f: 315.87 	mf: 124.00
			Robot 1 	f: 10.88 	mf: 100.00
			Robot 2 	f: 28.36 	mf: 184.60
			Robot 3 	f: 4.48 	mf: 133.60
			Robot 4 	f: 168.46 	mf: 148.20
			Robot 5 	f: 357.46 	mf: 210.20
			Robot 6 	f: 0.00 	mf: 127.60
			Robot 7 	f: 316.38 	mf: 200.00
			Robot 8 	f: 4.48 	mf: 71.80
			Robot 9 	f: 8.63 	mf: 140.00
		Population 6
			Robot 0 	f: 0.00 	mf: 123.00
			Robot 1 	f: 343.29 	mf: 168.40
			Robot 2 	f: 25.84 	mf: 123.20
			Robot 3 	f: 0.00 	mf: 133.60
			Robot 4 	f: 418.84 	mf: 231.80
			Robot 5 	f: 3.36 	mf: 150.20
			Robot 6 	f: 100.66 	mf: 77.40
			Robot 7 	f: 427.86 	mf: 279.80
			Robot 8 	f: 2.14 	mf: 71.60
			Robot 9 	f: 311.32 	mf: 136.00
		Population 7
			Robot 0 	f: 0.00 	mf: 118.20
			Robot 1 	f: 403.92 	mf: 185.40
			Robot 2 	f: 1.28 	mf: 123.40
			Robot 3 	f: 396.77 	mf: 212.80
			Robot 4 	f: 354.03 	mf: 248.20
			Robot 5 	f: 334.34 	mf: 139.80
			Robot 6 	f: 1.12 	mf: 20.20
			Robot 7 	f: 7.29 	mf: 219.40
			Robot 8 	f: 380.83 	mf: 77.60
			Robot 9 	f: 3.69 	mf: 136.60
		Population 8
			Robot 0 	f: 5.44 	mf: 118.60
			Robot 1 	f: 1.60 	mf: 185.60
			Robot 2 	f: 0.00 	mf: 84.00
			Robot 3 	f: 331.18 	mf: 205.40
			Robot 4 	f: 0.16 	mf: 248.20
			Robot 5 	f: 2.56 	mf: 139.20
			Robot 6 	f: 9.29 	mf: 22.00
			Robot 7 	f: 0.00 	mf: 154.60
			Robot 8 	f: 0.00 	mf: 77.20
			Robot 9 	f: 3.33 	mf: 65.00
		Population 9
			Robot 0 	f: -8573.83 	mf: -1650.60
			Robot 1 	f: 9.64 	mf: 153.20
			Robot 2 	f: 0.00 	mf: 10.80
			Robot 3 	f: 119.86 	mf: 170.00
			Robot 4 	f: 300.23 	mf: 248.00
			Robot 5 	f: 2.57 	mf: 139.60
			Robot 6 	f: -8580.30 	mf: -1694.00
			Robot 7 	f: 318.39 	mf: 213.60
			Robot 8 	f: 0.00 	mf: 77.20
			Robot 9 	f: 252.99 	mf: 115.40
		Population 10
			Robot 0 	f: 18.37 	mf: -1710.00
			Robot 1 	f: 0.00 	mf: 151.20
			Robot 2 	f: 321.16 	mf: 69.40
			Robot 3 	f: 214.52 	mf: 212.00
			Robot 4 	f: 3.84 	mf: 215.00
			Robot 5 	f: 270.67 	mf: 122.20
			Robot 6 	f: 251.13 	mf: -1643.80
			Robot 7 	f: 0.00 	mf: 150.40
			Robot 8 	f: 237.13 	mf: 123.80
			Robot 9 	f: 137.48 	mf: 141.20
		Population 11
			Robot 0 	f: 0.00 	mf: -1710.00
			Robot 1 	f: 8.46 	mf: 84.20
			Robot 2 	f: 0.00 	mf: 64.40
			Robot 3 	f: 3.84 	mf: 212.60
			Robot 4 	f: 10.26 	mf: 133.40
			Robot 5 	f: 0.00 	mf: 121.60
			Robot 6 	f: 0.00 	mf: -1663.80
			Robot 7 	f: 2.89 	mf: 65.40
			Robot 8 	f: 0.00 	mf: 123.40
			Robot 9 	f: 12.71 	mf: 81.40
		Population 12
			Robot 0 	f: 101.32 	mf: -1689.80
			Robot 1 	f: 0.00 	mf: 3.60
			Robot 2 	f: 0.48 	mf: 64.20
			Robot 3 	f: 149.61 	mf: 163.20
			Robot 4 	f: 216.92 	mf: 105.80
			Robot 5 	f: 4.27 	mf: 55.60
			Robot 6 	f: 12.83 	mf: -1661.60
			Robot 7 	f: 29.28 	mf: 69.80
			Robot 8 	f: 0.00 	mf: 47.40
			Robot 9 	f: 253.17 	mf: 131.40
		Population 13
			Robot 0 	f: 0.00 	mf: -1690.80
			Robot 1 	f: 10.56 	mf: 5.40
			Robot 2 	f: 0.00 	mf: 64.20
			Robot 3 	f: 339.16 	mf: 164.80
			Robot 4 	f: 0.00 	mf: 105.80
			Robot 5 	f: 404.33 	mf: 136.00
			Robot 6 	f: 352.30 	mf: -1593.00
			Robot 7 	f: 3.20 	mf: 70.40
			Robot 8 	f: 355.69 	mf: 118.40
			Robot 9 	f: 8.64 	mf: 132.40
		Population 14
			Robot 0 	f: 14.06 	mf: 26.60
			Robot 1 	f: 355.57 	mf: 74.60
			Robot 2 	f: 3.68 	mf: 64.80
			Robot 3 	f: 359.89 	mf: 212.80
			Robot 4 	f: 0.00 	mf: 45.80
			Robot 5 	f: 395.72 	mf: 214.60
			Robot 6 	f: 325.23 	mf: 188.00
			Robot 7 	f: 375.91 	mf: 81.80
			Robot 8 	f: 0.00 	mf: 118.40
			Robot 9 	f: 0.32 	mf: 82.00
		Population 15
