Environment 0
	Repetition 0
		Population 0
			Robot 0 	f:-485.84 	mf: -485.84 	g0: 0.44 	g1: 0.69 	g2: 0.45 	g3: 1.77 	g4: 3.67
			Robot 1 	f:214.32 	mf: 214.32 	g0: 0.75 	g1: 2.91 	g2: 0.58 	g3: 1.05 	g4: 85.17
			Robot 2 	f:253.68 	mf: 253.68 	g0: 1.59 	g1: 1.14 	g2: 0.57 	g3: 2.55 	g4: 50.58
			Robot 3 	f:242.57 	mf: 242.57 	g0: 0.30 	g1: 0.17 	g2: 0.59 	g3: 9.51 	g4: 79.35
			Robot 4 	f:275.51 	mf: 275.51 	g0: 1.65 	g1: 0.82 	g2: 0.58 	g3: 9.31 	g4: 18.82
			Robot 5 	f:-46.01 	mf: -46.01 	g0: 0.60 	g1: 0.29 	g2: 0.73 	g3: 2.52 	g4: 17.40
			Robot 6 	f:435.43 	mf: 435.43 	g0: 1.59 	g1: 1.75 	g2: 0.91 	g3: 9.04 	g4: 25.37
			Robot 7 	f:-520.61 	mf: -520.61 	g0: 0.68 	g1: 1.30 	g2: 0.82 	g3: 0.42 	g4: 25.69
			Robot 8 	f:91.13 	mf: 91.13 	g0: 1.23 	g1: 0.38 	g2: 0.83 	g3: 1.45 	g4: 48.82
			Robot 9 	f:179.58 	mf: 179.58 	g0: 0.46 	g1: 0.59 	g2: 0.45 	g3: 5.10 	g4: 17.26
			Robot 10 	f:197.01 	mf: 197.01 	g0: 0.90 	g1: 0.23 	g2: 0.42 	g3: 6.04 	g4: 77.46
			Robot 11 	f:120.37 	mf: 120.37 	g0: 1.62 	g1: 2.54 	g2: 0.32 	g3: 1.51 	g4: 37.71
			Robot 12 	f:-317.08 	mf: -317.08 	g0: 1.08 	g1: 0.97 	g2: 0.18 	g3: 1.15 	g4: 37.27
			Robot 13 	f:129.78 	mf: 129.78 	g0: 2.04 	g1: 2.16 	g2: 0.33 	g3: 2.04 	g4: 13.18
			Robot 14 	f:139.20 	mf: 139.20 	g0: 1.98 	g1: 2.60 	g2: 0.30 	g3: 3.95 	g4: 41.59
			Robot 15 	f:223.44 	mf: 223.44 	g0: 2.58 	g1: 2.29 	g2: 0.50 	g3: 6.09 	g4: 42.49
			Robot 16 	f:-80.54 	mf: -80.54 	g0: 0.13 	g1: 2.43 	g2: 0.06 	g3: 7.54 	g4: 46.01
			Robot 17 	f:252.96 	mf: 252.96 	g0: 2.08 	g1: 2.13 	g2: 0.52 	g3: 9.90 	g4: 31.25
			Robot 18 	f:12.45 	mf: 12.45 	g0: 2.90 	g1: 1.99 	g2: 0.97 	g3: 2.74 	g4: 27.46
			Robot 19 	f:-1093.70 	mf: -1093.70 	g0: 2.00 	g1: 2.66 	g2: 0.68 	g3: 0.50 	g4: 1.56
		Population 1
			Robot 0 	f:30.31 	mf: -227.76 	g0: 0.47 	g1: 0.71 	g2: 0.46 	g3: 1.91 	g4: 4.44
			Robot 1 	f:-158.20 	mf: 28.06 	g0: 0.76 	g1: 2.88 	g2: 0.58 	g3: 1.21 	g4: 83.97
			Robot 2 	f:96.26 	mf: 174.97 	g0: 1.59 	g1: 1.15 	g2: 0.57 	g3: 2.68 	g4: 50.07
			Robot 3 	f:252.00 	mf: 247.29 	g0: 0.32 	g1: 0.20 	g2: 0.59 	g3: 9.50 	g4: 78.27
			Robot 4 	f:278.88 	mf: 277.20 	g0: 1.65 	g1: 0.84 	g2: 0.58 	g3: 9.31 	g4: 18.95
			Robot 5 	f:359.08 	mf: 156.53 	g0: 0.62 	g1: 0.32 	g2: 0.74 	g3: 2.65 	g4: 17.56
			Robot 6 	f:438.16 	mf: 436.80 	g0: 1.59 	g1: 1.75 	g2: 0.91 	g3: 9.04 	g4: 25.37
			Robot 7 	f:-91.13 	mf: -305.87 	g0: 0.70 	g1: 1.31 	g2: 0.82 	g3: 0.59 	g4: 25.69
			Robot 8 	f:191.84 	mf: 141.49 	g0: 1.23 	g1: 0.41 	g2: 0.83 	g3: 1.61 	g4: 48.35
			Robot 9 	f:218.18 	mf: 198.88 	g0: 0.49 	g1: 0.62 	g2: 0.46 	g3: 5.18 	g4: 17.42
			Robot 10 	f:208.11 	mf: 202.56 	g0: 0.93 	g1: 0.26 	g2: 0.43 	g3: 6.10 	g4: 76.42
			Robot 11 	f:134.59 	mf: 127.48 	g0: 1.62 	g1: 2.49 	g2: 0.33 	g3: 1.66 	g4: 37.46
			Robot 12 	f:66.10 	mf: -125.49 	g0: 1.09 	g1: 0.98 	g2: 0.20 	g3: 1.31 	g4: 37.03
			Robot 13 	f:51.89 	mf: 90.84 	g0: 2.03 	g1: 2.15 	g2: 0.34 	g3: 2.18 	g4: 13.42
			Robot 14 	f:24.66 	mf: 81.93 	g0: 1.97 	g1: 2.59 	g2: 0.31 	g3: 4.06 	g4: 41.26
			Robot 15 	f:200.54 	mf: 211.99 	g0: 2.56 	g1: 2.28 	g2: 0.51 	g3: 6.15 	g4: 42.15
			Robot 16 	f:28.07 	mf: -26.24 	g0: 0.16 	g1: 2.41 	g2: 0.07 	g3: 7.57 	g4: 45.60
			Robot 17 	f:246.83 	mf: 249.90 	g0: 2.07 	g1: 2.12 	g2: 0.53 	g3: 9.89 	g4: 31.13
			Robot 18 	f:336.07 	mf: 174.26 	g0: 2.88 	g1: 1.98 	g2: 0.97 	g3: 2.86 	g4: 27.42
			Robot 19 	f:-688.45 	mf: -891.08 	g0: 1.99 	g1: 2.64 	g2: 0.69 	g3: 0.67 	g4: 2.03
		Population 2
			Robot 0 	f:114.14 	mf: -113.80 	g0: 0.49 	g1: 0.73 	g2: 0.47 	g3: 2.06 	g4: 4.86
			Robot 1 	f:-474.13 	mf: -139.34 	g0: 0.78 	g1: 2.86 	g2: 0.59 	g3: 1.37 	g4: 82.80
			Robot 2 	f:140.86 	mf: 163.60 	g0: 1.59 	g1: 1.17 	g2: 0.58 	g3: 2.81 	g4: 49.58
			Robot 3 	f:234.55 	mf: 243.04 	g0: 0.35 	g1: 0.23 	g2: 0.60 	g3: 9.39 	g4: 77.21
			Robot 4 	f:256.73 	mf: 270.37 	g0: 1.65 	g1: 0.86 	g2: 0.59 	g3: 9.30 	g4: 19.08
			Robot 5 	f:-98.02 	mf: 71.68 	g0: 0.63 	g1: 0.35 	g2: 0.74 	g3: 2.78 	g4: 17.96
			Robot 6 	f:410.20 	mf: 427.93 	g0: 1.59 	g1: 1.75 	g2: 0.91 	g3: 9.04 	g4: 25.37
			Robot 7 	f:158.13 	mf: -151.21 	g0: 0.71 	g1: 1.32 	g2: 0.83 	g3: 0.76 	g4: 25.68
			Robot 8 	f:81.56 	mf: 121.51 	g0: 1.24 	g1: 0.43 	g2: 0.83 	g3: 1.78 	g4: 47.89
			Robot 9 	f:217.38 	mf: 205.05 	g0: 0.51 	g1: 0.64 	g2: 0.47 	g3: 5.26 	g4: 17.58
			Robot 10 	f:176.09 	mf: 193.73 	g0: 0.94 	g1: 0.29 	g2: 0.44 	g3: 6.16 	g4: 75.39
			Robot 11 	f:155.53 	mf: 136.83 	g0: 1.62 	g1: 2.43 	g2: 0.35 	g3: 1.81 	g4: 37.22
			Robot 12 	f:-247.67 	mf: -166.22 	g0: 1.10 	g1: 1.00 	g2: 0.21 	g3: 1.46 	g4: 36.80
			Robot 13 	f:156.40 	mf: 112.69 	g0: 2.02 	g1: 2.15 	g2: 0.35 	g3: 2.32 	g4: 13.66
			Robot 14 	f:77.95 	mf: 80.60 	g0: 1.97 	g1: 2.57 	g2: 0.33 	g3: 4.16 	g4: 41.20
			Robot 15 	f:201.14 	mf: 208.37 	g0: 2.54 	g1: 2.27 	g2: 0.51 	g3: 6.21 	g4: 41.81
			Robot 16 	f:22.26 	mf: -10.07 	g0: 0.19 	g1: 2.40 	g2: 0.09 	g3: 7.60 	g4: 45.19
			Robot 17 	f:229.78 	mf: 243.19 	g0: 2.06 	g1: 2.12 	g2: 0.53 	g3: 9.87 	g4: 31.02
			Robot 18 	f:409.22 	mf: 252.58 	g0: 2.85 	g1: 1.98 	g2: 0.97 	g3: 2.99 	g4: 27.37
			Robot 19 	f:-8.93 	mf: -597.03 	g0: 1.99 	g1: 2.62 	g2: 0.69 	g3: 0.84 	g4: 2.50
		Population 3
			Robot 0 	f:-237.30 	mf: -30.95 	g0: 0.51 	g1: 0.75 	g2: 0.48 	g3: 2.28 	g4: 5.27
			Robot 1 	f:-328.74 	mf: -320.36 	g0: 0.80 	g1: 2.84 	g2: 0.60 	g3: 1.52 	g4: 81.35
			Robot 2 	f:164.57 	mf: 133.90 	g0: 1.59 	g1: 1.18 	g2: 0.59 	g3: 2.93 	g4: 49.09
			Robot 3 	f:297.31 	mf: 261.28 	g0: 0.37 	g1: 0.26 	g2: 0.61 	g3: 9.38 	g4: 76.17
			Robot 4 	f:238.51 	mf: 258.04 	g0: 1.65 	g1: 0.87 	g2: 0.60 	g3: 9.30 	g4: 19.21
			Robot 5 	f:314.19 	mf: 191.75 	g0: 0.65 	g1: 0.38 	g2: 0.74 	g3: 2.91 	g4: 18.10
			Robot 6 	f:427.71 	mf: 425.35 	g0: 1.59 	g1: 1.75 	g2: 0.91 	g3: 9.04 	g4: 25.37
			Robot 7 	f:-341.66 	mf: -91.56 	g0: 0.73 	g1: 1.33 	g2: 0.83 	g3: 0.92 	g4: 25.67
			Robot 8 	f:238.45 	mf: 170.62 	g0: 1.25 	g1: 0.46 	g2: 0.84 	g3: 1.92 	g4: 47.44
			Robot 9 	f:227.98 	mf: 221.18 	g0: 0.53 	g1: 0.66 	g2: 0.48 	g3: 5.33 	g4: 17.73
			Robot 10 	f:119.76 	mf: 167.99 	g0: 0.95 	g1: 0.32 	g2: 0.45 	g3: 6.22 	g4: 74.39
			Robot 11 	f:-89.01 	mf: 67.04 	g0: 1.63 	g1: 2.42 	g2: 0.36 	g3: 1.96 	g4: 36.98
			Robot 12 	f:28.99 	mf: -50.86 	g0: 1.11 	g1: 1.01 	g2: 0.23 	g3: 1.61 	g4: 36.57
			Robot 13 	f:119.68 	mf: 109.32 	g0: 2.01 	g1: 2.14 	g2: 0.37 	g3: 2.45 	g4: 13.90
			Robot 14 	f:154.74 	mf: 85.78 	g0: 1.96 	g1: 2.55 	g2: 0.34 	g3: 4.25 	g4: 40.88
			Robot 15 	f:170.77 	mf: 190.82 	g0: 2.52 	g1: 2.26 	g2: 0.52 	g3: 6.26 	g4: 41.20
			Robot 16 	f:-26.33 	mf: 8.00 	g0: 0.22 	g1: 2.39 	g2: 0.11 	g3: 7.49 	g4: 44.80
			Robot 17 	f:40.52 	mf: 172.38 	g0: 2.05 	g1: 2.11 	g2: 0.54 	g3: 9.85 	g4: 30.90
			Robot 18 	f:-128.67 	mf: 205.54 	g0: 2.83 	g1: 1.97 	g2: 0.95 	g3: 3.11 	g4: 27.33
			Robot 19 	f:91.87 	mf: -201.84 	g0: 1.98 	g1: 2.60 	g2: 0.70 	g3: 1.01 	g4: 2.96
		Population 4
			Robot 0 	f:116.73 	mf: -2.14 	g0: 0.53 	g1: 0.77 	g2: 0.49 	g3: 2.42 	g4: 6.21
			Robot 1 	f:-29.75 	mf: -277.54 	g0: 0.81 	g1: 2.82 	g2: 0.60 	g3: 1.67 	g4: 80.23
			Robot 2 	f:2.93 	mf: 102.79 	g0: 1.59 	g1: 1.19 	g2: 0.59 	g3: 3.06 	g4: 48.62
			Robot 3 	f:273.42 	mf: 268.42 	g0: 0.40 	g1: 0.29 	g2: 0.61 	g3: 9.38 	g4: 75.16
			Robot 4 	f:219.00 	mf: 238.08 	g0: 1.64 	g1: 0.89 	g2: 0.60 	g3: 9.29 	g4: 19.33
			Robot 5 	f:335.58 	mf: 183.91 	g0: 0.67 	g1: 0.40 	g2: 0.75 	g3: 3.03 	g4: 18.25
			Robot 6 	f:384.06 	mf: 407.32 	g0: 1.59 	g1: 1.75 	g2: 0.91 	g3: 9.04 	g4: 25.37
			Robot 7 	f:338.24 	mf: 51.57 	g0: 0.75 	g1: 1.34 	g2: 0.83 	g3: 1.09 	g4: 25.67
			Robot 8 	f:289.65 	mf: 203.22 	g0: 1.26 	g1: 0.48 	g2: 0.84 	g3: 2.06 	g4: 47.00
			Robot 9 	f:236.34 	mf: 227.23 	g0: 0.55 	g1: 0.68 	g2: 0.49 	g3: 5.31 	g4: 17.89
			Robot 10 	f:122.93 	mf: 139.59 	g0: 0.97 	g1: 0.35 	g2: 0.46 	g3: 6.27 	g4: 73.41
			Robot 11 	f:169.20 	mf: 78.57 	g0: 1.62 	g1: 2.38 	g2: 0.37 	g3: 2.10 	g4: 36.75
			Robot 12 	f:-253.12 	mf: -157.27 	g0: 1.12 	g1: 1.03 	g2: 0.24 	g3: 1.76 	g4: 36.34
			Robot 13 	f:-15.51 	mf: 86.86 	g0: 1.98 	g1: 2.13 	g2: 0.38 	g3: 2.58 	g4: 14.13
			Robot 14 	f:19.42 	mf: 84.04 	g0: 1.95 	g1: 2.54 	g2: 0.35 	g3: 4.35 	g4: 40.57
			Robot 15 	f:233.34 	mf: 201.75 	g0: 2.50 	g1: 2.25 	g2: 0.53 	g3: 6.32 	g4: 40.88
			Robot 16 	f:-272.26 	mf: -92.11 	g0: 0.24 	g1: 2.37 	g2: 0.12 	g3: 7.52 	g4: 44.41
			Robot 17 	f:167.43 	mf: 145.91 	g0: 2.04 	g1: 2.10 	g2: 0.54 	g3: 9.84 	g4: 30.78
