QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 9.2	 mr: 0.51	 nc: 0.2	 nm: 0.1	 bmp: 0.58	 cc: 2.65
	Repetition 0
		Population 0
			Robot 0 	f:202.97 	mf: 202.97
			Robot 1 	f:90.00 	mf: 90.00
			Robot 2 	f:168.00 	mf: 168.00
			Robot 3 	f:-802.90 	mf: -802.90
			Robot 4 	f:445.67 	mf: 445.67
			Robot 5 	f:132.89 	mf: 132.89
			Robot 6 	f:458.45 	mf: 458.45
			Robot 7 	f:456.29 	mf: 456.29
			Robot 8 	f:354.63 	mf: 354.63
			Robot 9 	f:147.46 	mf: 147.46
		Population 1
			Robot 0 	f:366.10 	mf: 284.54
			Robot 1 	f:208.65 	mf: 149.33
			Robot 2 	f:407.24 	mf: 287.62
			Robot 3 	f:173.60 	mf: -314.65
			Robot 4 	f:437.72 	mf: 441.69
			Robot 5 	f:328.82 	mf: 230.85
			Robot 6 	f:360.80 	mf: 409.62
			Robot 7 	f:376.25 	mf: 416.27
			Robot 8 	f:302.38 	mf: 328.50
			Robot 9 	f:359.01 	mf: 253.24
		Population 2
			Robot 0 	f:414.98 	mf: 328.02
			Robot 1 	f:411.83 	mf: 236.83
			Robot 2 	f:449.82 	mf: 341.69
			Robot 3 	f:178.62 	mf: -150.23
			Robot 4 	f:465.24 	mf: 449.54
			Robot 5 	f:433.53 	mf: 298.41
			Robot 6 	f:491.16 	mf: 436.80
			Robot 7 	f:483.03 	mf: 438.52
			Robot 8 	f:356.03 	mf: 337.68
			Robot 9 	f:379.09 	mf: 295.19
		Population 3
			Robot 0 	f:506.85 	mf: 372.73
			Robot 1 	f:197.81 	mf: 227.07
			Robot 2 	f:117.81 	mf: 285.72
			Robot 3 	f:425.43 	mf: -6.31
			Robot 4 	f:408.77 	mf: 439.35
			Robot 5 	f:417.32 	mf: 328.14
			Robot 6 	f:359.35 	mf: 417.44
