QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.25 	ga1: 0.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.05 	ga5: 0.00 	ga6: 0.13 	gb0: 0.33 	gb1: 0.61 	gb2: -0.01 	gb3: -0.08 	gb4: 0.13 	gb5: 0.88 	gb6: 0.58 	gb7: 0.90 	gb8: 1.77 	gb9: -0.29
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.25 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.04 	gb1: 2.15 	gb2: -0.28 	gb3: -0.22 	gb4: -0.13 	gb5: -0.05 	gb6: 0.60 	gb7: -0.10 	gb8: 2.45 	gb9: 0.92
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.28 	ga1: 4.35 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	ga5: 0.19 	ga6: 0.00 	gb0: -0.11 	gb1: 2.27 	gb2: -0.00 	gb3: -0.24 	gb4: 0.08 	gb5: 0.54 	gb6: 1.90 	gb7: 1.02 	gb8: 0.44 	gb9: -0.16
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.22 	ga1: 2.40 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.16 	gb1: 1.10 	gb2: -0.36 	gb3: -0.08 	gb4: 0.19 	gb5: -0.57 	gb6: 0.45 	gb7: 0.74 	gb8: 0.27 	gb9: 0.95
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: -4.74 	ga1: 3.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.23 	gb1: 2.00 	gb2: -0.03 	gb3: -0.16 	gb4: 0.04 	gb5: 1.14 	gb6: 0.89 	gb7: 0.57 	gb8: 2.38 	gb9: -0.05
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 5.55 	ga2: 0.00 	ga3: 0.00 	ga4: 0.10 	ga5: 0.00 	ga6: 0.00 	gb0: -0.25 	gb1: 3.09 	gb2: -0.10 	gb3: 0.10 	gb4: -0.18 	gb5: 1.54 	gb6: 0.71 	gb7: 0.66 	gb8: 1.34 	gb9: -0.74
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.07 	ga1: 1.55 	ga2: 0.00 	ga3: 0.00 	ga4: 0.09 	ga5: 0.00 	ga6: 0.00 	gb0: -0.02 	gb1: 0.69 	gb2: -0.04 	gb3: -0.09 	gb4: -0.06 	gb5: 1.08 	gb6: 1.80 	gb7: -0.16 	gb8: 0.14 	gb9: 0.67
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.16 	ga1: 1.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.22 	gb0: -0.12 	gb1: 0.92 	gb2: -0.48 	gb3: 0.22 	gb4: -0.17 	gb5: 0.49 	gb6: 2.10 	gb7: -0.97 	gb8: 0.28 	gb9: 1.19
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.38 	ga1: 2.65 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.25 	gb1: 1.33 	gb2: -0.15 	gb3: -0.06 	gb4: 0.01 	gb5: 0.51 	gb6: 2.34 	gb7: 0.55 	gb8: 1.44 	gb9: -0.41
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.31 	ga1: 4.55 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.09 	gb0: 0.12 	gb1: 2.57 	gb2: -0.12 	gb3: -0.29 	gb4: 0.16 	gb5: 0.18 	gb6: 2.00 	gb7: -1.28 	gb8: 0.74 	gb9: 1.57
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: -4.74 	ga1: 2.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.41 	gb1: 1.44 	gb2: -0.27 	gb3: -0.18 	gb4: -0.27 	gb5: 0.17 	gb6: 2.25 	gb7: 1.05 	gb8: 1.68 	gb9: 0.86
