QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	ga0: 0.52 	ga1: 4.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.69 	gb1: -0.24 	gb2: -0.01 	gb3: 0.33 	gb4: 0.07 	gb5: 0.63 	gb6: -0.56 	gb7: -0.21 	gb8: -4.12 	gb9: 1.14
			Robot 1 	f: 0.00 	ga0: 0.56 	ga1: 3.20 	ga2: 0.00 	ga3: 0.00 	ga4: 0.18 	ga5: 0.00 	ga6: 0.00 	gb0: 0.59 	gb1: 0.16 	gb2: 0.46 	gb3: 0.19 	gb4: -0.07 	gb5: 1.25 	gb6: -0.17 	gb7: -1.61 	gb8: 0.56 	gb9: 1.28
			Robot 2 	f: 0.00 	ga0: 0.40 	ga1: 4.65 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.18 	gb1: 0.26 	gb2: 0.10 	gb3: -0.11 	gb4: 0.15 	gb5: 3.02 	gb6: -0.79 	gb7: 1.37 	gb8: -2.95 	gb9: -0.80
			Robot 3 	f: 0.00 	ga0: 0.46 	ga1: 2.06 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.51 	gb1: 0.55 	gb2: 0.88 	gb3: 0.24 	gb4: -0.22 	gb5: 2.06 	gb6: 3.49 	gb7: -1.69 	gb8: -4.82 	gb9: 3.07
			Robot 4 	f: 0.00 	ga0: 0.25 	ga1: 0.75 	ga2: 0.09 	ga3: 0.00 	ga4: 0.00 	ga5: 0.04 	ga6: 0.00 	gb0: 0.57 	gb1: 0.33 	gb2: 0.26 	gb3: -0.20 	gb4: 0.54 	gb5: -1.53 	gb6: 0.38 	gb7: -2.19 	gb8: -3.22 	gb9: 3.48
			Robot 5 	f: 0.00 	ga0: 0.38 	ga1: 1.72 	ga2: 0.00 	ga3: 0.00 	ga4: 0.12 	ga5: 0.00 	ga6: 0.00 	gb0: 0.66 	gb1: -0.03 	gb2: 0.31 	gb3: 0.34 	gb4: 0.10 	gb5: 2.37 	gb6: 0.66 	gb7: -1.75 	gb8: -0.14 	gb9: 0.30
			Robot 6 	f: 0.00 	ga0: 0.38 	ga1: 4.65 	ga2: 0.00 	ga3: 0.00 	ga4: 0.25 	ga5: 0.05 	ga6: 0.00 	gb0: 0.00 	gb1: -0.03 	gb2: 0.48 	gb3: 0.09 	gb4: 0.30 	gb5: -0.35 	gb6: 3.13 	gb7: -0.46 	gb8: -4.09 	gb9: 3.36
			Robot 7 	f: 0.00 	ga0: 0.43 	ga1: 5.05 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.17 	gb0: -0.00 	gb1: -0.38 	gb2: 0.23 	gb3: 0.10 	gb4: 0.63 	gb5: 1.80 	gb6: 1.52 	gb7: 0.54 	gb8: -4.59 	gb9: 0.62
			Robot 8 	f: 0.00 	ga0: 0.56 	ga1: 1.55 	ga2: 0.00 	ga3: 0.00 	ga4: 0.20 	ga5: 0.10 	ga6: 0.00 	gb0: -0.17 	gb1: -0.37 	gb2: 0.18 	gb3: 0.22 	gb4: 0.33 	gb5: 0.92 	gb6: 2.20 	gb7: 1.55 	gb8: -2.68 	gb9: 2.34
			Robot 9 	f: 0.00 	ga0: 0.55 	ga1: 2.16 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.20 	gb1: 0.33 	gb2: 0.53 	gb3: 0.05 	gb4: -0.34 	gb5: 3.02 	gb6: -1.29 	gb7: -2.51 	gb8: -1.62 	gb9: 3.08
			Robot 10 	f: 0.00 	ga0: 0.62 	ga1: 1.95 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.17 	ga6: 0.00 	gb0: 0.09 	gb1: 0.25 	gb2: 0.33 	gb3: -0.06 	gb4: 0.66 	gb5: 2.12 	gb6: 1.72 	gb7: 2.27 	gb8: -4.61 	gb9: 0.46
			Robot 11 	f: 0.00 	ga0: 0.48 	ga1: 3.90 	ga2: 0.00 	ga3: 0.24 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.05 	gb1: 0.46 	gb2: 0.61 	gb3: -0.12 	gb4: -0.35 	gb5: 1.32 	gb6: 1.25 	gb7: 1.43 	gb8: -2.12 	gb9: -0.08
			Robot 12 	f: 0.00 	ga0: 0.74 	ga1: 1.08 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.50 	gb1: -0.49 	gb2: 0.46 	gb3: 0.61 	gb4: -0.32 	gb5: 2.14 	gb6: 1.61 	gb7: 1.48 	gb8: -3.70 	gb9: 1.42
			Robot 13 	f: 0.00 	ga0: 0.62 	ga1: 3.55 	ga2: 0.00 	ga3: 0.16 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.12 	gb1: 0.20 	gb2: 0.49 	gb3: -0.14 	gb4: 0.01 	gb5: -0.90 	gb6: -0.07 	gb7: 1.34 	gb8: -4.45 	gb9: 2.54
			Robot 14 	f: 0.00 	ga0: 0.55 	ga1: 0.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.83 	gb1: 0.31 	gb2: 0.78 	gb3: 0.83 	gb4: 0.27 	gb5: 3.72 	gb6: 6.01 	gb7: -0.79 	gb8: -8.66 	gb9: 4.82
		Population 1
			Robot 0 	f: 0.00 	ga0: 0.53 	ga1: 2.75 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.77 	gb1: 0.31 	gb2: 0.47 	gb3: -0.03 	gb4: 0.45 	gb5: 1.20 	gb6: 1.08 	gb7: -0.40 	gb8: -3.01 	gb9: 1.18
			Robot 1 	f: 0.00 	ga0: 0.55 	ga1: 2.00 	ga2: 0.00 	ga3: 0.09 	ga4: 0.09 	ga5: 0.00 	ga6: 0.00 	gb0: 0.81 	gb1: -0.37 	gb2: 0.13 	gb3: 0.27 	gb4: 0.54 	gb5: 1.12 	gb6: 1.22 	gb7: -0.71 	gb8: -2.17 	gb9: 1.45
			Robot 2 	f: 0.00 	ga0: 0.47 	ga1: 2.73 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.13 	gb0: 0.56 	gb1: 0.63 	gb2: 0.45 	gb3: -0.07 	gb4: -0.22 	gb5: 1.97 	gb6: 1.44 	gb7: 0.21 	gb8: -2.86 	gb9: 1.48
			Robot 3 	f: 0.00 	ga0: 0.50 	ga1: 1.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.06 	ga6: 0.16 	gb0: 0.17 	gb1: -0.05 	gb2: 0.44 	gb3: 0.29 	gb4: -0.31 	gb5: 1.43 	gb6: 2.81 	gb7: -0.36 	gb8: -3.64 	gb9: 1.61
			Robot 4 	f: 0.00 	ga0: 0.58 	ga1: 0.77 	ga2: 0.17 	ga3: 0.00 	ga4: 0.00 	ga5: 0.02 	ga6: 0.00 	gb0: -0.12 	gb1: 0.63 	gb2: -0.16 	gb3: 0.54 	gb4: -0.01 	gb5: 0.85 	gb6: 1.78 	gb7: -0.87 	gb8: -2.64 	gb9: 2.34
			Robot 5 	f: 0.00 	ga0: 0.47 	ga1: 0.99 	ga2: 0.00 	ga3: 0.14 	ga4: 0.06 	ga5: 0.00 	ga6: 0.16 	gb0: 0.65 	gb1: 0.54 	gb2: 0.47 	gb3: -0.05 	gb4: 0.28 	gb5: 1.25 	gb6: 1.20 	gb7: -0.73 	gb8: -2.00 	gb9: 1.23
			Robot 6 	f: 0.00 	ga0: 0.47 	ga1: 2.73 	ga2: 0.00 	ga3: 0.00 	ga4: 0.12 	ga5: 0.03 	ga6: 0.00 	gb0: -0.24 	gb1: 0.18 	gb2: 0.06 	gb3: 0.31 	gb4: 0.47 	gb5: 0.59 	gb6: 1.98 	gb7: -0.53 	gb8: -3.14 	gb9: 1.88
			Robot 7 	f: 0.00 	ga0: 0.49 	ga1: 2.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.09 	gb0: 0.30 	gb1: 0.01 	gb2: -0.20 	gb3: -0.27 	gb4: -0.05 	gb5: 1.14 	gb6: 1.91 	gb7: 0.15 	gb8: -3.37 	gb9: 1.00
