QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 6.86	 mr: 0.58	 nc: 0.6	 nm: 0.59	 bmp: 0.62	 cc: 0.03
	Repetition 0
		Population 0
			Robot 0 	f: 285.65 	mf: 285.65
			Robot 1 	f: 84.00 	mf: 84.00
			Robot 2 	f: 362.59 	mf: 362.59
			Robot 3 	f: 107.35 	mf: 107.35
			Robot 4 	f: 88.50 	mf: 88.50
			Robot 5 	f: -18.49 	mf: -18.49
			Robot 6 	f: 78.33 	mf: 78.33
			Robot 7 	f: 324.34 	mf: 324.34
			Robot 8 	f: 103.21 	mf: 103.21
			Robot 9 	f: 41.72 	mf: 41.72
		Population 1
			Robot 0 	f: 519.20 	mf: 402.43
			Robot 1 	f: 275.71 	mf: 179.86
			Robot 2 	f: 363.44 	mf: 363.02
			Robot 3 	f: 162.18 	mf: 134.77
			Robot 4 	f: 171.47 	mf: 129.98
			Robot 5 	f: 170.75 	mf: 76.13
			Robot 6 	f: 399.61 	mf: 238.97
			Robot 7 	f: 305.28 	mf: 314.81
			Robot 8 	f: 212.65 	mf: 157.93
			Robot 9 	f: 171.37 	mf: 106.55
		Population 2
			Robot 0 	f: 521.65 	mf: 442.17
			Robot 1 	f: 303.52 	mf: 221.08
			Robot 2 	f: 428.36 	mf: 384.80
			Robot 3 	f: 301.92 	mf: 190.48
			Robot 4 	f: 199.07 	mf: 153.01
			Robot 5 	f: 313.29 	mf: 155.18
			Robot 6 	f: 476.09 	mf: 318.01
			Robot 7 	f: 363.70 	mf: 331.11
			Robot 8 	f: 204.35 	mf: 173.40
			Robot 9 	f: 236.42 	mf: 149.84
		Population 3
			Robot 0 	f: 471.37 	mf: 449.47
			Robot 1 	f: 409.83 	mf: 268.26
			Robot 2 	f: 434.30 	mf: 397.17
			Robot 3 	f: 382.76 	mf: 238.55
			Robot 4 	f: 331.05 	mf: 197.52
			Robot 5 	f: 266.27 	mf: 182.96
			Robot 6 	f: 353.40 	mf: 326.86
			Robot 7 	f: 364.05 	mf: 339.34
			Robot 8 	f: 248.20 	mf: 192.10
			Robot 9 	f: 298.57 	mf: 187.02
		Population 4
			Robot 0 	f: 518.84 	mf: 463.34
			Robot 1 	f: 435.47 	mf: 301.71
			Robot 2 	f: 479.01 	mf: 413.54
			Robot 3 	f: 353.44 	mf: 261.53
			Robot 4 	f: 303.13 	mf: 218.64
			Robot 5 	f: 368.78 	mf: 220.12
			Robot 6 	f: 398.35 	mf: 341.16
			Robot 7 	f: 360.67 	mf: 343.61
			Robot 8 	f: 310.12 	mf: 215.71
			Robot 9 	f: 408.81 	mf: 231.38
		Population 5
			Robot 0 	f: 512.53 	mf: 471.54
			Robot 1 	f: 461.46 	mf: 328.33
			Robot 2 	f: 342.63 	mf: 401.72
			Robot 3 	f: 421.89 	mf: 288.26
			Robot 4 	f: 350.60 	mf: 240.64
			Robot 5 	f: 462.63 	mf: 260.54
			Robot 6 	f: 298.08 	mf: 333.98
			Robot 7 	f: 345.66 	mf: 343.95
			Robot 8 	f: 271.32 	mf: 224.97
			Robot 9 	f: 460.02 	mf: 269.49
		Population 6
			Robot 0 	f: 516.22 	mf: 509.97
