QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 70
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 60
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 0 	f: -2447.40 	mf: -2447.00
			Robot 1 	f: 44.88 	mf: 44.00
			Robot 2 	f: 363.50 	mf: 363.00
			Robot 3 	f: 202.44 	mf: 202.00
			Robot 4 	f: 117.00 	mf: 117.00
			Robot 5 	f: 50.21 	mf: 50.00
			Robot 6 	f: 0.00 	mf: 0.00
			Robot 7 	f: 162.76 	mf: 162.00
			Robot 8 	f: 262.09 	mf: 262.00
			Robot 9 	f: -96.86 	mf: -96.00
		Population 1
			Robot 0 	f: 138.11 	mf: -1154.50
			Robot 1 	f: 202.74 	mf: 123.00
			Robot 2 	f: 345.39 	mf: 354.00
			Robot 3 	f: 228.10 	mf: 215.00
			Robot 4 	f: 278.62 	mf: 197.50
			Robot 5 	f: 222.81 	mf: 136.00
			Robot 6 	f: 184.01 	mf: 92.00
			Robot 7 	f: 275.91 	mf: 218.50
			Robot 8 	f: 299.79 	mf: 280.50
			Robot 9 	f: 259.89 	mf: 81.50
		Population 2
			Robot 0 	f: -557.84 	mf: -955.33
			Robot 1 	f: 306.73 	mf: 184.00
			Robot 2 	f: 397.18 	mf: 368.33
			Robot 3 	f: 294.22 	mf: 241.33
			Robot 4 	f: 154.90 	mf: 183.00
			Robot 5 	f: 263.17 	mf: 178.33
			Robot 6 	f: 285.13 	mf: 156.33
			Robot 7 	f: -397.68 	mf: 13.33
			Robot 8 	f: 383.87 	mf: 314.67
			Robot 9 	f: 289.42 	mf: 150.67
		Population 3
			Robot 0 	f: 325.06 	mf: -635.25
			Robot 1 	f: 254.13 	mf: 201.50
			Robot 2 	f: 322.20 	mf: 356.75
			Robot 3 	f: 340.68 	mf: 266.00
			Robot 4 	f: 281.44 	mf: 207.50
			Robot 5 	f: 288.73 	mf: 205.75
			Robot 6 	f: 283.42 	mf: 188.00
			Robot 7 	f: 349.50 	mf: 97.25
			Robot 8 	f: 375.29 	mf: 329.75
			Robot 9 	f: 299.72 	mf: 187.75
		Population 4
			Robot 0 	f: 329.24 	mf: -442.40
			Robot 1 	f: 328.79 	mf: 226.80
			Robot 2 	f: 351.72 	mf: 355.60
			Robot 3 	f: 377.90 	mf: 288.20
			Robot 4 	f: 331.00 	mf: 232.20
			Robot 5 	f: 218.46 	mf: 208.20
			Robot 6 	f: 271.84 	mf: 204.60
			Robot 7 	f: 353.22 	mf: 148.40
			Robot 8 	f: 392.64 	mf: 342.20
			Robot 9 	f: 397.42 	mf: 229.60
		Population 5
			Robot 0 	f: -2582.67 	mf: -469.40
			Robot 1 	f: 357.74 	mf: 289.40
			Robot 2 	f: 248.76 	mf: 332.60
			Robot 3 	f: -480.30 	mf: 151.80
			Robot 4 	f: 374.73 	mf: 283.60
			Robot 5 	f: 373.50 	mf: 272.80
			Robot 6 	f: 146.39 	mf: 233.80
			Robot 7 	f: 368.20 	mf: 189.60
			Robot 8 	f: -384.11 	mf: 213.00
			Robot 9 	f: 390.93 	mf: 326.80
		Population 6
			Robot 0 	f: 280.13 	mf: -441.00
			Robot 1 	f: -89.95 	mf: 231.20
			Robot 2 	f: -25.23 	mf: 258.60
			Robot 3 	f: 144.80 	mf: 135.00
			Robot 4 	f: 288.89 	mf: 285.60
			Robot 5 	f: 326.38 	mf: 293.60
			Robot 6 	f: -364.04 	mf: 124.20
			Robot 7 	f: 334.23 	mf: 201.40
			Robot 8 	f: 339.36 	mf: 221.00
			Robot 9 	f: 182.38 	mf: 311.40
		Population 7
			Robot 0 	f: 207.58 	mf: -288.20
			Robot 1 	f: 289.67 	mf: 227.80
			Robot 2 	f: 300.00 	mf: 239.20
			Robot 3 	f: 166.88 	mf: 109.40
			Robot 4 	f: 294.79 	mf: 313.60
			Robot 5 	f: 146.26 	mf: 270.20
			Robot 6 	f: 279.39 	mf: 123.00
			Robot 7 	f: 272.80 	mf: 335.20
			Robot 8 	f: 290.90 	mf: 202.40
			Robot 9 	f: 185.17 	mf: 290.60
		Population 8
			Robot 0 	f: 263.23 	mf: -300.60
			Robot 1 	f: 307.31 	mf: 238.40
			Robot 2 	f: 298.07 	mf: 234.40
			Robot 3 	f: 237.21 	mf: 88.80
			Robot 4 	f: 316.00 	mf: 320.40
			Robot 5 	f: 309.68 	mf: 274.40
			Robot 6 	f: 294.33 	mf: 125.20
			Robot 7 	f: 323.49 	mf: 330.00
			Robot 8 	f: 302.33 	mf: 187.80
			Robot 9 	f: 261.34 	mf: 283.00
		Population 9
			Robot 0 	f: 243.32 	mf: -317.80
			Robot 1 	f: 324.25 	mf: 237.60
