QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.91 	ga1: 7.56 	ga2: 0.23 	ga3: 0.20 	ga4: 0.69 	ga5: 0.67 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.10 	ga10: 0.14 	ga11: 0.36 	gb0: 0.63 	gb1: 0.37 	gb2: 0.71 	gb3: 0.81 	gb4: 0.16 	gb5: 0.58 	gb6: 0.68 	gb7: 0.48 	gb8: 0.28 	gb9: 0.83 	gb10: -0.11 	gb11: -2.98 	gb12: -2.65 	gb13: -1.88 	gb14: 0.12 	gb15: 2.66 	gb16: -2.51 	gb17: -1.64 	gb18: 1.58 	gb19: -0.10
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.18 	ga1: 3.30 	ga2: 0.00 	ga3: 0.04 	ga4: 0.66 	ga5: 0.00 	ga6: 0.42 	ga7: 0.66 	ga8: 0.00 	ga9: 0.00 	ga10: 0.45 	ga11: 0.26 	gb0: 0.52 	gb1: 0.50 	gb2: 0.26 	gb3: 0.76 	gb4: 0.53 	gb5: 0.22 	gb6: 0.72 	gb7: 0.83 	gb8: 0.49 	gb9: 0.69 	gb10: 4.29 	gb11: -3.07 	gb12: 1.57 	gb13: -1.99 	gb14: -3.90 	gb15: -2.42 	gb16: 0.80 	gb17: 1.14 	gb18: 0.35 	gb19: 4.85
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.93 	ga1: 5.82 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.39 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.46 	gb1: 0.51 	gb2: 0.69 	gb3: 0.21 	gb4: 0.48 	gb5: 0.75 	gb6: 0.44 	gb7: 0.55 	gb8: 0.14 	gb9: 0.63 	gb10: -1.18 	gb11: 2.33 	gb12: -0.75 	gb13: -1.91 	gb14: 2.98 	gb15: -1.72 	gb16: -2.22 	gb17: -2.13 	gb18: 3.08 	gb19: 4.39
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.25 	ga1: 4.78 	ga2: 0.57 	ga3: 0.78 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.46 	ga8: 0.00 	ga9: 0.00 	ga10: 0.28 	ga11: 0.45 	gb0: 0.51 	gb1: 0.70 	gb2: 0.25 	gb3: 0.86 	gb4: 0.24 	gb5: 0.88 	gb6: 0.85 	gb7: 0.18 	gb8: 0.48 	gb9: 0.37 	gb10: -2.46 	gb11: 3.42 	gb12: 0.05 	gb13: 0.87 	gb14: -0.64 	gb15: -0.71 	gb16: -3.45 	gb17: -1.70 	gb18: -1.76 	gb19: -2.52
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.52 	ga1: 2.49 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.42 	ga9: 0.00 	ga10: 0.00 	ga11: 0.30 	gb0: 0.62 	gb1: 0.24 	gb2: 0.33 	gb3: 0.73 	gb4: 0.51 	gb5: 0.28 	gb6: 0.58 	gb7: 0.49 	gb8: 0.82 	gb9: 0.82 	gb10: 1.98 	gb11: 3.19 	gb12: -2.22 	gb13: -2.30 	gb14: 0.62 	gb15: -0.64 	gb16: -3.23 	gb17: -3.29 	gb18: 3.11 	gb19: 2.47
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.14 	ga1: 1.63 	ga2: 0.00 	ga3: 0.00 	ga4: 0.68 	ga5: 0.74 	ga6: 0.76 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.36 	ga11: 0.30 	gb0: 0.53 	gb1: 0.82 	gb2: 0.34 	gb3: 0.59 	gb4: 0.60 	gb5: 0.81 	gb6: 0.39 	gb7: 0.52 	gb8: 0.81 	gb9: 0.56 	gb10: 2.52 	gb11: -0.10 	gb12: 3.08 	gb13: 3.25 	gb14: -4.08 	gb15: -2.57 	gb16: -4.39 	gb17: -0.99 	gb18: -0.78 	gb19: 0.33
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 7.80 	ga2: 0.22 	ga3: 0.00 	ga4: 0.49 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.55 	ga11: 0.00 	gb0: 0.80 	gb1: 0.19 	gb2: 0.80 	gb3: 0.81 	gb4: 0.80 	gb5: 0.80 	gb6: 0.50 	gb7: 0.85 	gb8: 0.16 	gb9: 0.74 	gb10: 2.03 	gb11: 0.35 	gb12: -3.59 	gb13: -3.66 	gb14: 3.14 	gb15: -3.50 	gb16: -3.64 	gb17: 1.73 	gb18: -2.15 	gb19: -1.24
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.40 	ga1: 4.50 	ga2: 0.66 	ga3: 0.00 	ga4: 0.22 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.15 	ga9: 0.00 	ga10: 0.00 	ga11: 0.09 	gb0: 0.48 	gb1: 0.94 	gb2: 0.16 	gb3: 0.64 	gb4: 0.35 	gb5: 0.52 	gb6: 0.83 	gb7: 0.29 	gb8: 0.52 	gb9: 0.56 	gb10: -0.39 	gb11: 2.79 	gb12: 3.22 	gb13: -3.59 	gb14: 0.58 	gb15: -2.12 	gb16: 0.67 	gb17: -2.83 	gb18: -0.12 	gb19: 3.01
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.17 	ga1: 7.92 	ga2: 0.60 	ga3: 0.00 	ga4: 0.75 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.02 	ga10: 0.20 	ga11: 0.00 	gb0: 0.45 	gb1: 0.26 	gb2: 0.21 	gb3: 0.44 	gb4: 0.35 	gb5: 0.29 	gb6: 0.54 	gb7: 0.81 	gb8: 0.54 	gb9: 0.27 	gb10: 1.14 	gb11: 1.86 	gb12: -1.82 	gb13: -0.26 	gb14: 0.95 	gb15: 0.13 	gb16: 2.77 	gb17: 3.45 	gb18: -3.74 	gb19: -0.72
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 7.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.83 	gb1: 0.58 	gb2: 0.32 	gb3: 0.77 	gb4: 0.20 	gb5: 0.27 	gb6: 0.79 	gb7: 0.02 	gb8: 0.61 	gb9: 0.55 	gb10: 3.47 	gb11: -4.34 	gb12: -2.56 	gb13: -2.56 	gb14: -3.88 	gb15: -1.31 	gb16: -2.05 	gb17: -4.17 	gb18: 0.13 	gb19: 4.82
		Population 1
			Robot 0 	f: 610.03 	mf: 305.00 	ga0: 0.20 	ga1: 2.64 	ga2: 0.76 	ga3: 0.12 	ga4: 0.64 	ga5: 0.70 	ga6: 0.10 	ga7: 0.14 	ga8: 0.25 	ga9: 0.06 	ga10: 0.81 	ga11: 0.83 	gb0: 0.51 	gb1: 0.22 	gb2: 0.70 	gb3: 0.22 	gb4: 0.08 	gb5: 0.37 	gb6: 0.50 	gb7: 0.26 	gb8: 0.79 	gb9: 0.19 	gb10: -2.72 	gb11: 2.99 	gb12: 0.58 	gb13: 2.00 	gb14: 2.26 	gb15: 3.10 	gb16: -1.59 	gb17: -1.60 	gb18: -3.58 	gb19: 1.40
			Robot 1 	f: 621.08 	mf: 310.50 	ga0: 0.56 	ga1: 2.63 	ga2: 0.00 	ga3: 0.11 	ga4: 0.67 	ga5: 0.73 	ga6: 0.56 	ga7: 0.39 	ga8: 0.00 	ga9: 0.09 	ga10: 0.29 	ga11: 0.74 	gb0: 0.32 	gb1: 0.81 	gb2: 0.26 	gb3: 0.82 	gb4: 0.70 	gb5: 0.45 	gb6: 0.65 	gb7: 0.30 	gb8: 0.28 	gb9: 0.44 	gb10: -1.24 	gb11: -3.14 	gb12: 3.85 	gb13: 3.45 	gb14: 2.04 	gb15: -0.34 	gb16: -3.70 	gb17: -2.57 	gb18: 1.46 	gb19: -2.63
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.01 	ga1: 4.03 	ga2: 0.00 	ga3: 0.00 	ga4: 0.27 	ga5: 0.53 	ga6: 0.54 	ga7: 0.38 	ga8: 0.00 	ga9: 0.00 	ga10: 0.14 	ga11: 0.19 	gb0: 0.25 	gb1: 0.85 	gb2: 0.86 	gb3: 0.38 	gb4: 0.35 	gb5: 0.55 	gb6: 0.44 	gb7: 0.18 	gb8: 0.33 	gb9: 0.53 	gb10: -0.08 	gb11: -0.10 	gb12: -0.85 	gb13: 0.18 	gb14: 0.42 	gb15: 1.28 	gb16: -2.69 	gb17: -3.43 	gb18: 3.49 	gb19: 4.13
			Robot 3 	f: 428.13 	mf: 214.00 	ga0: 1.20 	ga1: 3.52 	ga2: 0.53 	ga3: 0.17 	ga4: 0.27 	ga5: 0.30 	ga6: 0.30 	ga7: 0.27 	ga8: 0.00 	ga9: 0.17 	ga10: 0.31 	ga11: 0.39 	gb0: 0.29 	gb1: 0.48 	gb2: 0.50 	gb3: 0.58 	gb4: 0.81 	gb5: 0.47 	gb6: 0.60 	gb7: 0.21 	gb8: 0.19 	gb9: 0.15 	gb10: -1.04 	gb11: -1.60 	gb12: -2.36 	gb13: -1.40 	gb14: -0.01 	gb15: -3.71 	gb16: 0.22 	gb17: -0.20 	gb18: -3.23 	gb19: 2.77
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.15 	ga1: 2.15 	ga2: 0.00 	ga3: 0.00 	ga4: 0.27 	ga5: 0.30 	ga6: 0.34 	ga7: 0.47 	ga8: 0.25 	ga9: 0.00 	ga10: 0.54 	ga11: 0.30 	gb0: 0.15 	gb1: 0.28 	gb2: 0.55 	gb3: 0.24 	gb4: 0.78 	gb5: 0.43 	gb6: 0.23 	gb7: 0.17 	gb8: 0.34 	gb9: 0.28 	gb10: 2.69 	gb11: 1.96 	gb12: -3.80 	gb13: -1.90 	gb14: 0.38 	gb15: 2.11 	gb16: -0.80 	gb17: -2.76 	gb18: -2.47 	gb19: -1.33
