QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 3000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.02 	ga1: 4.12 	ga2: 0.32 	ga3: 0.00 	ga4: 0.00 	ga5: 0.50 	ga6: 0.00 	ga7: 0.54 	ga8: 0.00 	ga9: 0.00 	ga10: 0.74 	ga11: 0.00 	gb0: 0.43 	gb1: 0.29 	gb2: 0.28 	gb3: 0.28 	gb4: 0.06 	gb5: 0.47 	gb6: 0.22 	gb7: 0.40 	gb8: 0.87 	gb9: 0.75 	gb10: -2.18 	gb11: -4.59 	gb12: -0.69 	gb13: 3.35 	gb14: -2.34 	gb15: -2.08 	gb16: -2.18 	gb17: 2.75 	gb18: 1.64 	gb19: -1.11
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 0.80 	ga2: 0.62 	ga3: 0.00 	ga4: 0.00 	ga5: 0.16 	ga6: 0.72 	ga7: 0.00 	ga8: 0.00 	ga9: 0.31 	ga10: 0.00 	ga11: 0.34 	gb0: 0.87 	gb1: 0.37 	gb2: 0.75 	gb3: 0.13 	gb4: 0.23 	gb5: 0.05 	gb6: 0.29 	gb7: 0.44 	gb8: 0.45 	gb9: 0.54 	gb10: 3.09 	gb11: 1.87 	gb12: 1.92 	gb13: -0.41 	gb14: -3.16 	gb15: 3.06 	gb16: -3.22 	gb17: -4.49 	gb18: -2.62 	gb19: -2.14
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.19 	ga5: 0.06 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.29 	ga10: 0.00 	ga11: 0.33 	gb0: 0.88 	gb1: 0.75 	gb2: 0.35 	gb3: 0.73 	gb4: 0.52 	gb5: 0.64 	gb6: 0.88 	gb7: 0.44 	gb8: 0.93 	gb9: 0.12 	gb10: 3.18 	gb11: 0.12 	gb12: 1.24 	gb13: -3.20 	gb14: 1.20 	gb15: 3.28 	gb16: 0.53 	gb17: 2.36 	gb18: 0.30 	gb19: 1.17
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.65 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.74 	gb0: 0.96 	gb1: 0.68 	gb2: 0.22 	gb3: 0.85 	gb4: 0.27 	gb5: 0.58 	gb6: 0.18 	gb7: 0.55 	gb8: 0.28 	gb9: 0.20 	gb10: -4.17 	gb11: 4.03 	gb12: -0.84 	gb13: -2.96 	gb14: 1.39 	gb15: 1.79 	gb16: 1.47 	gb17: 0.92 	gb18: 3.73 	gb19: 1.52
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 4.00 	ga2: 0.00 	ga3: 0.43 	ga4: 0.16 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.69 	ga10: 0.58 	ga11: 0.59 	gb0: 0.43 	gb1: 0.34 	gb2: 0.85 	gb3: 0.24 	gb4: 0.64 	gb5: 0.10 	gb6: 0.65 	gb7: 0.87 	gb8: 0.20 	gb9: 0.01 	gb10: 1.78 	gb11: 0.73 	gb12: 1.75 	gb13: 2.22 	gb14: 0.01 	gb15: -0.94 	gb16: 1.37 	gb17: -1.86 	gb18: 2.86 	gb19: -4.34
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.46 	ga5: 0.22 	ga6: 0.00 	ga7: 0.01 	ga8: 0.67 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.28 	gb1: 0.53 	gb2: 0.77 	gb3: 0.26 	gb4: 0.98 	gb5: 0.16 	gb6: 0.86 	gb7: 0.32 	gb8: 0.68 	gb9: 0.07 	gb10: 3.46 	gb11: 1.26 	gb12: -2.19 	gb13: -2.61 	gb14: 0.15 	gb15: -2.25 	gb16: -0.97 	gb17: 0.16 	gb18: -2.72 	gb19: -1.59
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.00 	ga2: 0.59 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.16 	ga8: 0.00 	ga9: 0.00 	ga10: 0.74 	ga11: 0.12 	gb0: 0.67 	gb1: 0.94 	gb2: 0.83 	gb3: 0.33 	gb4: 0.24 	gb5: 0.69 	gb6: 0.67 	gb7: 0.86 	gb8: 0.76 	gb9: 0.02 	gb10: -0.50 	gb11: -2.21 	gb12: -0.62 	gb13: 1.03 	gb14: 2.23 	gb15: -0.76 	gb16: -2.68 	gb17: 3.22 	gb18: -0.79 	gb19: -3.58
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.48 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.01 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.52 	gb1: 0.62 	gb2: 0.66 	gb3: 0.21 	gb4: 0.24 	gb5: 0.06 	gb6: 0.65 	gb7: 0.45 	gb8: 0.61 	gb9: 0.79 	gb10: 1.94 	gb11: -1.02 	gb12: -0.70 	gb13: -0.06 	gb14: -2.80 	gb15: 0.83 	gb16: 2.45 	gb17: -0.48 	gb18: -1.46 	gb19: -3.43
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.00 	ga1: 4.00 	ga2: 0.06 	ga3: 0.06 	ga4: 0.72 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.79 	gb1: 0.26 	gb2: 0.62 	gb3: 0.80 	gb4: 0.69 	gb5: 0.18 	gb6: 0.45 	gb7: 0.78 	gb8: 0.40 	gb9: 0.06 	gb10: -0.70 	gb11: 2.45 	gb12: -2.82 	gb13: 2.08 	gb14: -2.94 	gb15: -2.38 	gb16: 1.69 	gb17: -1.93 	gb18: 0.25 	gb19: -2.55
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.90 	gb1: 0.85 	gb2: 0.29 	gb3: 0.63 	gb4: 0.98 	gb5: 0.20 	gb6: 0.67 	gb7: 0.42 	gb8: 0.82 	gb9: 0.00 	gb10: -2.08 	gb11: 2.78 	gb12: 3.50 	gb13: 3.18 	gb14: -4.67 	gb15: -0.84 	gb16: -4.00 	gb17: -2.46 	gb18: 4.03 	gb19: -3.53
		Population 1
			Robot 0 	f: 713.04 	mf: 356.50 	ga0: 1.02 	ga1: 4.00 	ga2: 0.00 	ga3: 0.00 	ga4: 0.46 	ga5: 0.22 	ga6: 0.00 	ga7: 0.01 	ga8: 0.67 	ga9: 0.00 	ga10: 0.50 	ga11: 0.00 	gb0: 0.32 	gb1: 0.21 	gb2: 0.47 	gb3: 0.19 	gb4: 0.24 	gb5: 0.51 	gb6: 0.96 	gb7: 0.26 	gb8: 0.74 	gb9: 0.02 	gb10: -0.99 	gb11: -0.28 	gb12: -1.37 	gb13: -1.71 	gb14: 0.70 	gb15: 1.85 	gb16: 1.30 	gb17: -3.53 	gb18: -3.47 	gb19: -1.65
			Robot 1 	f: 576.46 	mf: 288.00 	ga0: 1.02 	ga1: 2.40 	ga2: 0.62 	ga3: 0.00 	ga4: 0.10 	ga5: 0.11 	ga6: 0.36 	ga7: 0.08 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.33 	gb0: 0.43 	gb1: 0.76 	gb2: 0.52 	gb3: 0.75 	gb4: 0.12 	gb5: 0.28 	gb6: 0.79 	gb7: 0.86 	gb8: 0.24 	gb9: 0.61 	gb10: 1.42 	gb11: 4.18 	gb12: 2.77 	gb13: 0.75 	gb14: -0.96 	gb15: 4.16 	gb16: -1.67 	gb17: -1.81 	gb18: 2.74 	gb19: -3.66
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.20 	ga1: 2.40 	ga2: 0.77 	ga3: 0.22 	ga4: 0.10 	ga5: 0.05 	ga6: 0.36 	ga7: 0.69 	ga8: 0.00 	ga9: 0.30 	ga10: 0.00 	ga11: 0.65 	gb0: 0.50 	gb1: 0.31 	gb2: 0.85 	gb3: 0.82 	gb4: 0.67 	gb5: 0.49 	gb6: 0.37 	gb7: 0.71 	gb8: 0.89 	gb9: 0.51 	gb10: -0.73 	gb11: 1.14 	gb12: 4.03 	gb13: 0.06 	gb14: 1.86 	gb15: -1.84 	gb16: -4.09 	gb17: -1.45 	gb18: 2.56 	gb19: -0.87
