QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.4	 nc: 0.5	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.62 	ga1: 2.55 	ga2: 0.00 	ga3: 0.08 	ga4: 0.06 	ga5: 0.00 	ga6: 0.00 	gb0: 0.59 	gb1: 0.67 	gb2: 0.26 	gb3: 0.25 	gb4: 0.33 	gb5: -0.70 	gb6: 1.02 	gb7: 1.43 	gb8: 3.95 	gb9: -1.57
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.31 	ga1: 0.75 	ga2: 0.02 	ga3: 0.19 	ga4: 0.00 	ga5: 0.17 	ga6: 0.00 	gb0: 0.44 	gb1: 0.74 	gb2: 0.31 	gb3: 0.79 	gb4: 0.36 	gb5: 3.04 	gb6: -0.73 	gb7: 1.32 	gb8: -0.83 	gb9: 1.67
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.99 	ga1: 3.85 	ga2: 0.00 	ga3: 0.13 	ga4: 0.00 	ga5: 0.00 	ga6: 0.05 	gb0: 0.78 	gb1: 0.60 	gb2: 0.31 	gb3: 0.54 	gb4: 0.59 	gb5: 3.31 	gb6: -1.05 	gb7: -2.37 	gb8: 0.96 	gb9: 1.50
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 1.65 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.17 	gb0: 0.40 	gb1: 0.87 	gb2: 0.31 	gb3: 0.43 	gb4: 0.40 	gb5: -0.25 	gb6: 1.43 	gb7: 1.07 	gb8: 3.63 	gb9: 2.04
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 3.90 	ga2: 0.00 	ga3: 0.01 	ga4: 0.00 	ga5: 0.00 	ga6: 0.07 	gb0: 0.42 	gb1: 0.56 	gb2: 0.69 	gb3: 0.61 	gb4: 0.37 	gb5: -0.06 	gb6: -1.08 	gb7: 0.09 	gb8: 2.18 	gb9: 0.26
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.00 	ga1: 2.90 	ga2: 0.00 	ga3: 0.19 	ga4: 0.00 	ga5: 0.00 	ga6: 0.20 	gb0: 0.75 	gb1: 0.76 	gb2: 0.51 	gb3: 0.47 	gb4: 0.24 	gb5: 2.88 	gb6: 0.40 	gb7: -1.99 	gb8: 0.56 	gb9: -1.57
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.65 	ga1: 2.32 	ga2: 0.24 	ga3: 0.12 	ga4: 0.12 	ga5: 0.00 	ga6: 0.00 	gb0: 0.79 	gb1: 0.49 	gb2: 0.42 	gb3: 0.59 	gb4: 0.78 	gb5: 0.65 	gb6: 0.43 	gb7: -2.37 	gb8: -0.80 	gb9: 1.57
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.37 	ga1: 2.00 	ga2: 0.00 	ga3: 0.08 	ga4: 0.09 	ga5: 0.00 	ga6: 0.11 	gb0: 0.76 	gb1: 0.60 	gb2: 0.24 	gb3: 0.38 	gb4: 0.75 	gb5: 0.70 	gb6: -0.04 	gb7: -0.62 	gb8: -1.60 	gb9: 2.24
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 3.10 	ga2: 0.00 	ga3: 0.04 	ga4: 0.20 	ga5: 0.19 	ga6: 0.00 	gb0: 0.66 	gb1: 0.79 	gb2: 0.54 	gb3: 0.38 	gb4: 0.69 	gb5: 0.29 	gb6: 1.21 	gb7: -1.46 	gb8: 1.00 	gb9: 2.16
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.90 	ga1: 1.80 	ga2: 0.16 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.65 	gb1: 0.48 	gb2: 0.49 	gb3: 0.42 	gb4: 0.63 	gb5: 1.38 	gb6: -0.61 	gb7: 1.04 	gb8: -1.44 	gb9: 1.75
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 0.84 	ga1: 0.60 	ga2: 0.00 	ga3: 0.22 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.78 	gb1: 0.74 	gb2: 0.34 	gb3: 0.85 	gb4: 0.60 	gb5: 0.03 	gb6: 1.84 	gb7: 2.91 	gb8: 0.09 	gb9: -0.33
