QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.67 	ga1: 8.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 4.16 	gb2: 0.29 	gb3: 0.15 	gb4: -0.17 	gb5: 0.56 	gb6: 0.38 	gb7: -0.47 	gb8: 0.44 	gb9: -0.61
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.84 	ga1: 6.75 	ga2: 0.05 	ga3: 0.08 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.31 	gb1: 3.13 	gb2: 0.14 	gb3: 0.08 	gb4: -0.15 	gb5: 0.93 	gb6: 1.37 	gb7: -0.43 	gb8: 0.35 	gb9: -2.18
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.87 	ga1: 6.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.09 	gb0: 0.44 	gb1: 3.06 	gb2: -0.12 	gb3: -0.04 	gb4: -0.29 	gb5: 1.20 	gb6: 1.93 	gb7: -0.38 	gb8: 1.00 	gb9: 0.18
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.66 	ga1: 6.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.04 	gb1: 3.52 	gb2: 0.25 	gb3: -0.40 	gb4: -0.48 	gb5: 1.63 	gb6: 1.25 	gb7: -0.56 	gb8: 1.37 	gb9: -0.25
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.64 	ga1: 6.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.22 	ga6: 0.00 	gb0: 0.14 	gb1: 3.12 	gb2: -0.06 	gb3: -0.31 	gb4: -0.18 	gb5: 0.52 	gb6: 1.34 	gb7: 0.13 	gb8: 0.68 	gb9: -2.13
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.76 	ga1: 7.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.25 	gb1: 3.73 	gb2: 0.18 	gb3: -0.39 	gb4: -0.20 	gb5: 0.45 	gb6: 1.25 	gb7: 1.39 	gb8: 1.46 	gb9: -2.14
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 8.00 	ga2: 0.00 	ga3: 0.04 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 3.98 	gb2: 0.15 	gb3: -0.02 	gb4: -0.22 	gb5: 0.71 	gb6: 0.55 	gb7: -0.90 	gb8: 2.28 	gb9: -1.56
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: -4.72 	ga1: 8.25 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.02 	gb0: -2.54 	gb1: 4.09 	gb2: -0.12 	gb3: 0.07 	gb4: -0.30 	gb5: 1.78 	gb6: 0.11 	gb7: 1.37 	gb8: 1.71 	gb9: 0.22
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.59 	ga1: 5.80 	ga2: 0.22 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.01 	gb1: 2.83 	gb2: 0.33 	gb3: -0.28 	gb4: -0.34 	gb5: 0.45 	gb6: 0.26 	gb7: -0.45 	gb8: 1.89 	gb9: -1.96
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.78 	ga1: 5.45 	ga2: 0.00 	ga3: 0.23 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.03 	gb1: 2.71 	gb2: -0.04 	gb3: 0.21 	gb4: -0.33 	gb5: 1.01 	gb6: 2.23 	gb7: 0.33 	gb8: 0.20 	gb9: -0.45
			Robot 10 	f: 0.00 	mf: 0.00 	ga0: 0.85 	ga1: 9.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.11 	gb1: 4.72 	gb2: 0.17 	gb3: 0.14 	gb4: -0.04 	gb5: 1.40 	gb6: 2.20 	gb7: -0.57 	gb8: 1.60 	gb9: -2.07
			Robot 11 	f: 0.00 	mf: 0.00 	ga0: 0.69 	ga1: 7.65 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.11 	gb0: 0.38 	gb1: 3.77 	gb2: 0.20 	gb3: 0.13 	gb4: 0.07 	gb5: 1.76 	gb6: 1.40 	gb7: 0.66 	gb8: 1.15 	gb9: 0.12
			Robot 12 	f: 0.00 	mf: 0.00 	ga0: 0.77 	ga1: 5.60 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.36 	gb1: 2.69 	gb2: -0.03 	gb3: -0.02 	gb4: 0.01 	gb5: -0.45 	gb6: 0.01 	gb7: 0.05 	gb8: 1.95 	gb9: 0.08
			Robot 13 	f: 0.00 	mf: 0.00 	ga0: 0.75 	ga1: 6.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.09 	gb1: 3.28 	gb2: 0.11 	gb3: -0.29 	gb4: -0.05 	gb5: -0.62 	gb6: 0.77 	gb7: 1.42 	gb8: 0.42 	gb9: 0.03
			Robot 14 	f: 0.00 	mf: 0.00 	ga0: 0.83 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.97 	gb1: -0.18 	gb2: 0.39 	gb3: -0.40 	gb4: -0.89 	gb5: 2.11 	gb6: 4.26 	gb7: 1.05 	gb8: 4.81 	gb9: -4.02
		Population 1
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: -4.62 	ga1: 8.95 	ga2: 0.14 	ga3: 0.00 	ga4: 0.00 	ga5: 0.05 	ga6: 0.00 	gb0: -2.52 	gb1: 5.52 	gb2: 0.33 	gb3: -0.16 	gb4: -0.30 	gb5: 0.69 	gb6: 1.06 	gb7: 0.07 	gb8: 1.28 	gb9: -1.12
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.84 	ga1: 1.64 	ga2: 0.19 	ga3: 0.04 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.27 	gb1: 1.56 	gb2: 0.14 	gb3: -0.05 	gb4: -0.18 	gb5: 0.80 	gb6: 1.45 	gb7: 0.23 	gb8: 1.34 	gb9: -1.46
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.85 	ga1: 1.98 	ga2: 0.00 	ga3: 0.20 	ga4: 0.00 	ga5: 0.12 	ga6: 0.05 	gb0: 0.26 	gb1: 1.77 	gb2: 0.01 	gb3: -0.00 	gb4: -0.38 	gb5: 0.93 	gb6: 1.59 	gb7: 0.09 	gb8: 1.41 	gb9: -0.95
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.75 	ga1: 8.30 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.19 	gb1: 4.97 	gb2: 0.17 	gb3: -0.16 	gb4: -0.43 	gb5: 0.89 	gb6: 1.43 	gb7: 0.08 	gb8: 1.45 	gb9: -1.00
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.74 	ga1: 7.95 	ga2: 0.18 	ga3: 0.00 	ga4: 0.00 	ga5: 0.13 	ga6: 0.00 	gb0: 0.10 	gb1: 4.71 	gb2: 0.23 	gb3: -0.18 	gb4: -0.20 	gb5: 0.63 	gb6: 1.33 	gb7: 0.30 	gb8: 1.34 	gb9: -1.56
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.79 	ga1: 4.23 	ga2: 0.00 	ga3: 0.12 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.26 	gb1: 3.07 	gb2: 0.24 	gb3: -0.14 	gb4: -0.21 	gb5: 0.73 	gb6: 1.31 	gb7: 0.54 	gb8: 1.57 	gb9: -1.51
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: -4.10 	ga1: 3.95 	ga2: 0.00 	ga3: 0.02 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.28 	gb1: 2.98 	gb2: 0.12 	gb3: -0.09 	gb4: -0.19 	gb5: 0.72 	gb6: 1.28 	gb7: 0.07 	gb8: 1.86 	gb9: -1.43
			Robot 7 	f: -589.72 	mf: -294.50 	ga0: -1.94 	ga1: 2.01 	ga2: 0.17 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.01 	gb0: -1.77 	gb1: 1.95 	gb2: 0.23 	gb3: -0.04 	gb4: -0.34 	gb5: 1.02 	gb6: 1.16 	gb7: 0.53 	gb8: 1.66 	gb9: -0.94
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.71 	ga1: 3.40 	ga2: 0.11 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.17 	gb1: 2.41 	gb2: 0.27 	gb3: -0.09 	gb4: -0.36 	gb5: 0.70 	gb6: 1.17 	gb7: 0.13 	gb8: 1.75 	gb9: -1.59
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: -4.10 	ga1: 7.62 	ga2: 0.20 	ga3: 0.12 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -2.30 	gb1: 4.44 	gb2: 0.18 	gb3: 0.07 	gb4: -0.24 	gb5: 0.71 	gb6: 1.60 	gb7: 0.27 	gb8: 1.25 	gb9: -1.16
