QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 120
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 150
MaxTime: 6000
EnvMutationRate: 0.2
QtdSensors: 3
EnableSensor: 0.7

Environment 0	 h: 3	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -4517.85 	mf: -4517.00 	ga0: 1.00 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.49 	gb1: 0.57 	gb2: 0.20 	gb3: 2.13 	gb4: 2.86 	gb5: 2.96
			Robot 1 	f: -3415.31 	mf: -3415.00 	ga0: 1.00 	ga1: 8.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.42 	gb1: 0.64 	gb2: 0.61 	gb3: 1.85 	gb4: 4.59 	gb5: 4.12
			Robot 2 	f: 1887.62 	mf: 1887.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.27 	gb1: 0.73 	gb2: 0.30 	gb3: 1.60 	gb4: 4.92 	gb5: 3.31
			Robot 3 	f: -1643.69 	mf: -1643.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.37 	gb1: 0.83 	gb2: 0.68 	gb3: 2.95 	gb4: 4.52 	gb5: 3.03
			Robot 4 	f: -4359.27 	mf: -4359.00 	ga0: 1.00 	ga1: 5.03 	ga2: 0.00 	ga3: 0.25 	ga4: 0.00 	gb0: 0.47 	gb1: 0.47 	gb2: 0.27 	gb3: 1.19 	gb4: 2.84 	gb5: 3.73
			Robot 5 	f: -998.22 	mf: -998.00 	ga0: 1.00 	ga1: 6.25 	ga2: 0.00 	ga3: 0.00 	ga4: 0.18 	gb0: 0.22 	gb1: 0.56 	gb2: 0.21 	gb3: 2.64 	gb4: 2.19 	gb5: 2.33
			Robot 6 	f: -5394.63 	mf: -5394.00 	ga0: 1.00 	ga1: 4.60 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	gb0: 0.43 	gb1: 0.47 	gb2: 0.12 	gb3: 2.69 	gb4: 3.29 	gb5: 1.90
			Robot 7 	f: -1588.83 	mf: -1588.00 	ga0: 1.00 	ga1: 6.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.38 	gb1: 0.45 	gb2: 0.15 	gb3: 3.24 	gb4: 4.29 	gb5: 3.81
			Robot 8 	f: 154.95 	mf: 154.00 	ga0: 1.00 	ga1: 4.97 	ga2: 0.00 	ga3: 0.00 	ga4: 0.50 	gb0: 0.40 	gb1: 0.63 	gb2: 0.53 	gb3: 2.68 	gb4: 2.33 	gb5: 3.68
			Robot 9 	f: -1886.93 	mf: -1886.00 	ga0: 1.00 	ga1: 8.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.25 	gb1: 0.48 	gb2: 0.47 	gb3: 2.70 	gb4: 4.10 	gb5: 2.54
			Robot 10 	f: -214.93 	mf: -214.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	gb0: 0.14 	gb1: 0.45 	gb2: 0.65 	gb3: 1.24 	gb4: 3.26 	gb5: 3.43
			Robot 11 	f: -6527.08 	mf: -6527.00 	ga0: 1.00 	ga1: 6.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.23 	gb1: 0.75 	gb2: 0.48 	gb3: 1.95 	gb4: 4.17 	gb5: 3.63
			Robot 12 	f: -3447.33 	mf: -3447.00 	ga0: 1.00 	ga1: 8.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.23 	gb1: 0.77 	gb2: 0.47 	gb3: 2.77 	gb4: 2.31 	gb5: 2.89
			Robot 13 	f: -3227.27 	mf: -3227.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.35 	gb1: 0.69 	gb2: 0.37 	gb3: 2.01 	gb4: 2.31 	gb5: 3.52
			Robot 14 	f: -2223.87 	mf: -2223.00 	ga0: 1.00 	ga1: 5.82 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.25 	gb1: 0.39 	gb2: 0.19 	gb3: 2.89 	gb4: 4.02 	gb5: 2.37
		Population 1
			Robot 0 	f: -1627.60 	mf: -3072.00 	ga0: 1.00 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.49 	gb1: 0.57 	gb2: 0.20 	gb3: 2.13 	gb4: 2.86 	gb5: 2.96
			Robot 1 	f: 56.74 	mf: -1679.50 	ga0: 1.00 	ga1: 8.66 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.42 	gb1: 0.64 	gb2: 0.61 	gb3: 1.85 	gb4: 4.59 	gb5: 4.12
			Robot 2 	f: -3167.38 	mf: -639.50 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.27 	gb1: 0.73 	gb2: 0.30 	gb3: 1.60 	gb4: 4.92 	gb5: 3.31
			Robot 3 	f: -1109.03 	mf: -1376.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.37 	gb1: 0.83 	gb2: 0.68 	gb3: 2.95 	gb4: 4.52 	gb5: 3.03
			Robot 4 	f: -1067.25 	mf: -2713.00 	ga0: 1.00 	ga1: 5.03 	ga2: 0.00 	ga3: 0.25 	ga4: 0.00 	gb0: 0.47 	gb1: 0.47 	gb2: 0.27 	gb3: 1.19 	gb4: 2.84 	gb5: 3.73
			Robot 5 	f: -5539.73 	mf: -3268.50 	ga0: 1.00 	ga1: 8.74 	ga2: 0.00 	ga3: 0.11 	ga4: 0.05 	gb0: 0.30 	gb1: 0.58 	gb2: 0.61 	gb3: 1.48 	gb4: 3.68 	gb5: 1.89
			Robot 6 	f: -2713.87 	mf: -4053.50 	ga0: 1.00 	ga1: 4.60 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	gb0: 0.43 	gb1: 0.47 	gb2: 0.12 	gb3: 2.69 	gb4: 3.29 	gb5: 1.90
			Robot 7 	f: -1335.77 	mf: -1461.50 	ga0: 1.00 	ga1: 6.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.38 	gb1: 0.45 	gb2: 0.15 	gb3: 3.24 	gb4: 4.29 	gb5: 3.81
			Robot 8 	f: -1984.53 	mf: -914.50 	ga0: 1.00 	ga1: 4.97 	ga2: 0.00 	ga3: 0.00 	ga4: 0.50 	gb0: 0.40 	gb1: 0.63 	gb2: 0.53 	gb3: 2.68 	gb4: 2.33 	gb5: 3.68
			Robot 9 	f: -5561.63 	mf: -3723.50 	ga0: 1.00 	ga1: 9.54 	ga2: 0.00 	ga3: 0.08 	ga4: 0.00 	gb0: 0.50 	gb1: 0.61 	gb2: 0.41 	gb3: 3.03 	gb4: 3.55 	gb5: 3.57
			Robot 10 	f: -1604.19 	mf: -909.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	gb0: 0.14 	gb1: 0.45 	gb2: 0.65 	gb3: 1.24 	gb4: 3.26 	gb5: 3.43
			Robot 11 	f: -2819.90 	mf: -4673.00 	ga0: 1.00 	ga1: 6.93 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.23 	gb1: 0.75 	gb2: 0.48 	gb3: 1.95 	gb4: 4.17 	gb5: 3.63
			Robot 12 	f: -2448.08 	mf: -2947.50 	ga0: 1.00 	ga1: 8.27 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.23 	gb1: 0.77 	gb2: 0.47 	gb3: 2.77 	gb4: 2.31 	gb5: 2.89
			Robot 13 	f: 657.95 	mf: -1285.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.35 	gb1: 0.69 	gb2: 0.37 	gb3: 2.01 	gb4: 2.31 	gb5: 3.52
			Robot 14 	f: -1070.30 	mf: -1646.50 	ga0: 1.00 	ga1: 5.82 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.25 	gb1: 0.39 	gb2: 0.19 	gb3: 2.89 	gb4: 4.02 	gb5: 2.37
		Population 2
			Robot 0 	f: 239.99 	mf: -1968.33 	ga0: 1.00 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.49 	gb1: 0.57 	gb2: 0.20 	gb3: 2.13 	gb4: 2.86 	gb5: 2.96
			Robot 1 	f: -5416.37 	mf: -2924.67 	ga0: 0.50 	ga1: 9.46 	ga2: 0.00 	ga3: 0.00 	ga4: 0.06 	gb0: 0.19 	gb1: 0.45 	gb2: 0.40 	gb3: 1.12 	gb4: 2.85 	gb5: 2.71
			Robot 2 	f: -1667.94 	mf: -982.00 	ga0: 1.00 	ga1: 9.80 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.27 	gb1: 0.73 	gb2: 0.30 	gb3: 1.60 	gb4: 4.92 	gb5: 3.31
			Robot 3 	f: -1532.06 	mf: -1428.00 	ga0: 1.00 	ga1: 7.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.37 	gb1: 0.83 	gb2: 0.68 	gb3: 2.95 	gb4: 4.52 	gb5: 3.03
			Robot 4 	f: -2770.74 	mf: -2732.00 	ga0: 1.00 	ga1: 8.37 	ga2: 0.00 	ga3: 0.07 	ga4: 0.00 	gb0: 0.29 	gb1: 0.38 	gb2: 0.49 	gb3: 2.04 	gb4: 2.72 	gb5: 2.09
			Robot 5 	f: -1584.28 	mf: -2707.00 	ga0: 1.00 	ga1: 8.74 	ga2: 0.00 	ga3: 0.11 	ga4: 0.05 	gb0: 0.30 	gb1: 0.58 	gb2: 0.61 	gb3: 1.48 	gb4: 3.68 	gb5: 1.89
			Robot 6 	f: -950.82 	mf: -3019.00 	ga0: 1.00 	ga1: 4.60 	ga2: 0.05 	ga3: 0.00 	ga4: 0.00 	gb0: 0.43 	gb1: 0.47 	gb2: 0.12 	gb3: 2.69 	gb4: 3.29 	gb5: 1.90
			Robot 7 	f: -33.26 	mf: -985.33 	ga0: 1.00 	ga1: 6.79 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.38 	gb1: 0.45 	gb2: 0.15 	gb3: 3.24 	gb4: 4.29 	gb5: 3.81
			Robot 8 	f: -2494.59 	mf: -1441.00 	ga0: 1.00 	ga1: 4.67 	ga2: 0.33 	ga3: 0.28 	ga4: 0.42 	gb0: 0.40 	gb1: 0.39 	gb2: 0.43 	gb3: 2.06 	gb4: 4.18 	gb5: 2.99
			Robot 9 	f: -989.08 	mf: -2812.00 	ga0: 1.00 	ga1: 9.54 	ga2: 0.00 	ga3: 0.08 	ga4: 0.00 	gb0: 0.50 	gb1: 0.61 	gb2: 0.41 	gb3: 3.03 	gb4: 3.55 	gb5: 3.57
			Robot 10 	f: -1624.09 	mf: -1147.33 	ga0: 1.00 	ga1: 7.43 	ga2: 0.00 	ga3: 0.00 	ga4: 0.41 	gb0: 0.14 	gb1: 0.45 	gb2: 0.65 	gb3: 1.24 	gb4: 3.26 	gb5: 3.43
