QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	ga0: 0.58 	ga1: 5.45 	ga2: 0.00 	ga3: 0.23 	ga4: 0.00 	ga5: 0.03 	ga6: 0.00 	gb0: -0.34 	gb1: 0.40 	gb2: 0.49 	gb3: -0.25 	gb4: -0.24 	gb5: -1.17 	gb6: -0.95 	gb7: -0.30 	gb8: 0.46 	gb9: -1.06
			Robot 1 	f: 0.00 	ga0: 0.30 	ga1: 4.80 	ga2: 0.05 	ga3: 0.09 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.25 	gb1: 0.17 	gb2: 0.23 	gb3: -0.17 	gb4: -0.38 	gb5: 3.74 	gb6: -0.65 	gb7: 0.53 	gb8: -1.07 	gb9: 2.88
			Robot 2 	f: 0.00 	ga0: 0.38 	ga1: 7.55 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.12 	gb0: -0.47 	gb1: -0.08 	gb2: 0.03 	gb3: -0.28 	gb4: 0.71 	gb5: 1.26 	gb6: 0.88 	gb7: -2.62 	gb8: 2.88 	gb9: -0.89
			Robot 3 	f: 0.00 	ga0: 0.37 	ga1: 5.95 	ga2: 0.00 	ga3: 0.04 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.61 	gb1: 0.11 	gb2: 0.22 	gb3: -0.03 	gb4: 0.17 	gb5: 1.45 	gb6: -3.14 	gb7: -0.47 	gb8: -1.01 	gb9: -1.06
			Robot 4 	f: 0.00 	ga0: 0.46 	ga1: 3.23 	ga2: 0.14 	ga3: 0.00 	ga4: 0.15 	ga5: 0.00 	ga6: 0.00 	gb0: 0.71 	gb1: 0.06 	gb2: -0.40 	gb3: 0.01 	gb4: -0.05 	gb5: 2.55 	gb6: -2.61 	gb7: -2.33 	gb8: 0.32 	gb9: 1.98
			Robot 5 	f: 0.00 	ga0: 0.57 	ga1: 4.18 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.12 	gb1: 0.31 	gb2: -0.27 	gb3: -0.29 	gb4: 0.33 	gb5: 2.55 	gb6: 0.50 	gb7: 0.59 	gb8: 2.37 	gb9: -0.74
			Robot 6 	f: 0.00 	ga0: 0.52 	ga1: 7.50 	ga2: 0.00 	ga3: 0.00 	ga4: 0.01 	ga5: 0.00 	ga6: 0.00 	gb0: -0.25 	gb1: -0.23 	gb2: 0.28 	gb3: -0.72 	gb4: -0.26 	gb5: 1.03 	gb6: -2.25 	gb7: -2.67 	gb8: 3.03 	gb9: 1.84
			Robot 7 	f: 0.00 	ga0: 0.75 	ga1: 4.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.23 	ga6: 0.19 	gb0: 0.18 	gb1: -0.03 	gb2: -0.32 	gb3: 0.31 	gb4: -0.25 	gb5: 1.52 	gb6: -2.95 	gb7: -2.10 	gb8: 1.66 	gb9: 0.91
			Robot 8 	f: 0.00 	ga0: 0.74 	ga1: 6.40 	ga2: 0.19 	ga3: 0.00 	ga4: 0.14 	ga5: 0.00 	ga6: 0.05 	gb0: -0.10 	gb1: 0.41 	gb2: 0.03 	gb3: 0.10 	gb4: -0.14 	gb5: 0.17 	gb6: 0.27 	gb7: 0.91 	gb8: 2.18 	gb9: 2.32
			Robot 9 	f: 0.00 	ga0: 0.42 	ga1: 3.69 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: -0.38 	gb1: 0.33 	gb2: 0.38 	gb3: -0.16 	gb4: -0.38 	gb5: -0.06 	gb6: -0.80 	gb7: 0.41 	gb8: -0.42 	gb9: 2.44
			Robot 10 	f: 0.00 	ga0: 0.32 	ga1: 6.70 	ga2: 0.00 	ga3: 0.22 	ga4: 0.00 	ga5: 0.00 	ga6: 0.14 	gb0: 0.20 	gb1: -0.29 	gb2: -0.43 	gb3: -0.37 	gb4: -0.37 	gb5: -0.44 	gb6: -1.46 	gb7: -1.59 	gb8: 2.99 	gb9: -0.66
