QtdRobots: 20
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 100
PointsCollision: -1000
PointsMoving: 10
MaxPopulation: 200
MaxTime: 10000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -1389.98 	mf: -1389.00 	ga0: 1.00 	ga1: 3.01 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.40 	gb1: 0.70 	gb2: 0.64 	gb3: 3.83 	gb4: 4.14 	gb5: 2.75
			Robot 1 	f: -6144.03 	mf: -6144.00 	ga0: 1.00 	ga1: 2.92 	ga2: 0.06 	ga3: 0.00 	ga4: 0.00 	gb0: 0.41 	gb1: 0.66 	gb2: 0.58 	gb3: 2.53 	gb4: 2.02 	gb5: 2.55
			Robot 2 	f: -4360.09 	mf: -4360.00 	ga0: 1.00 	ga1: 5.64 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.64 	gb1: 0.31 	gb2: 0.51 	gb3: 2.51 	gb4: 3.73 	gb5: 3.83
			Robot 3 	f: -3983.19 	mf: -3983.00 	ga0: 1.00 	ga1: 2.62 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.38 	gb1: 0.73 	gb2: 0.48 	gb3: 1.70 	gb4: 4.06 	gb5: 2.98
			Robot 4 	f: -539.35 	mf: -539.00 	ga0: 1.00 	ga1: 0.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.49 	gb1: 0.49 	gb2: 0.91 	gb3: 4.25 	gb4: 4.75 	gb5: 3.98
			Robot 5 	f: -1026.48 	mf: -1026.00 	ga0: 1.00 	ga1: 1.15 	ga2: 0.00 	ga3: 0.27 	ga4: 0.00 	gb0: 0.57 	gb1: 0.49 	gb2: 0.78 	gb3: 2.67 	gb4: 2.19 	gb5: 2.71
			Robot 6 	f: -3769.04 	mf: -3769.00 	ga0: 1.00 	ga1: 1.42 	ga2: 0.22 	ga3: 0.00 	ga4: 0.00 	gb0: 0.34 	gb1: 0.69 	gb2: 0.65 	gb3: 4.21 	gb4: 4.33 	gb5: 3.53
			Robot 7 	f: -4984.36 	mf: -4984.00 	ga0: 0.50 	ga1: 1.09 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.33 	gb1: 0.39 	gb2: 0.40 	gb3: 4.31 	gb4: 2.78 	gb5: 3.76
			Robot 8 	f: -2962.80 	mf: -2962.00 	ga0: 1.00 	ga1: 2.29 	ga2: 0.08 	ga3: 0.00 	ga4: 0.00 	gb0: 0.37 	gb1: 0.61 	gb2: 0.44 	gb3: 2.78 	gb4: 3.65 	gb5: 3.89
			Robot 9 	f: -1592.11 	mf: -1592.00 	ga0: 1.00 	ga1: 1.57 	ga2: 0.04 	ga3: 0.00 	ga4: 0.47 	gb0: 0.50 	gb1: 0.34 	gb2: 0.64 	gb3: 1.91 	gb4: 3.35 	gb5: 3.87
			Robot 10 	f: -3814.04 	mf: -3814.00 	ga0: 1.00 	ga1: 3.19 	ga2: 0.00 	ga3: 0.33 	ga4: 0.00 	gb0: 0.21 	gb1: 0.61 	gb2: 0.72 	gb3: 3.68 	gb4: 2.59 	gb5: 3.39
			Robot 11 	f: -4175.96 	mf: -4175.00 	ga0: 0.50 	ga1: 0.52 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.43 	gb1: 0.69 	gb2: 0.85 	gb3: 2.38 	gb4: 2.70 	gb5: 3.98
			Robot 12 	f: -6190.94 	mf: -6190.00 	ga0: 1.00 	ga1: 1.66 	ga2: 0.38 	ga3: 0.42 	ga4: 0.00 	gb0: 0.34 	gb1: 0.34 	gb2: 0.83 	gb3: 2.56 	gb4: 3.21 	gb5: 3.55
			Robot 13 	f: -5119.82 	mf: -5119.00 	ga0: 1.00 	ga1: 0.94 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	gb0: 0.68 	gb1: 0.32 	gb2: 0.46 	gb3: 3.55 	gb4: 3.26 	gb5: 3.64
