QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 100
PointsCollision: -1000
PointsMoving: 10
PointsExploration: 0
MaxPopulation: 200
MaxTime: 3000
EnvMutationRate: 0.2
QtdSensors: 3
EnableSensor: 0.4

Environment 0	 h: 10	 mr: 0.2	 nc: 0.3	 nm: 0.5	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: -252.68 	mf: -252.00 	ga0: 1.00 	ga1: 8.19 	ga2: 0.35 	ga3: 0.20 	ga4: 0.00 	gb0: 0.50 	gb1: 0.67 	gb2: 0.26 	gb3: 3.56 	gb4: 2.95 	gb5: 1.03
			Robot 1 	f: 1185.07 	mf: 1185.00 	ga0: 1.00 	ga1: 8.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.19 	gb1: 0.49 	gb2: 0.63 	gb3: 3.39 	gb4: 1.24 	gb5: 0.65
			Robot 2 	f: -1794.43 	mf: -1794.00 	ga0: 1.00 	ga1: 7.47 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.45 	gb1: 0.23 	gb2: 0.66 	gb3: 1.85 	gb4: 0.87 	gb5: 1.21
			Robot 3 	f: -1027.53 	mf: -1027.00 	ga0: 1.00 	ga1: 5.40 	ga2: 0.13 	ga3: 0.00 	ga4: 0.00 	gb0: 0.57 	gb1: 0.50 	gb2: 0.51 	gb3: 1.63 	gb4: 0.83 	gb5: 2.08
			Robot 4 	f: -710.78 	mf: -710.00 	ga0: 1.00 	ga1: 5.88 	ga2: 0.00 	ga3: 0.38 	ga4: 0.00 	gb0: 0.15 	gb1: 0.37 	gb2: 0.59 	gb3: 2.07 	gb4: 1.83 	gb5: 2.95
			Robot 5 	f: -675.75 	mf: -675.00 	ga0: 0.50 	ga1: 6.48 	ga2: 0.00 	ga3: 0.14 	ga4: 0.00 	gb0: 0.30 	gb1: 0.54 	gb2: 0.62 	gb3: 2.17 	gb4: 2.57 	gb5: 2.12
			Robot 6 	f: -1466.92 	mf: -1466.00 	ga0: 1.00 	ga1: 6.60 	ga2: 0.00 	ga3: 0.44 	ga4: 0.00 	gb0: 0.16 	gb1: 0.67 	gb2: 0.48 	gb3: 3.93 	gb4: 2.07 	gb5: 3.12
			Robot 7 	f: -307.81 	mf: -307.00 	ga0: 1.00 	ga1: 6.27 	ga2: 0.31 	ga3: 0.10 	ga4: 0.00 	gb0: 0.46 	gb1: 0.36 	gb2: 0.43 	gb3: 2.14 	gb4: 2.67 	gb5: 1.83
			Robot 8 	f: -2613.57 	mf: -2613.00 	ga0: 1.00 	ga1: 7.47 	ga2: 0.48 	ga3: 0.00 	ga4: 0.00 	gb0: 0.47 	gb1: 0.47 	gb2: 0.34 	gb3: 3.10 	gb4: 0.74 	gb5: 1.83
			Robot 9 	f: 1067.72 	mf: 1067.00 	ga0: 1.00 	ga1: 6.75 	ga2: 0.00 	ga3: 0.00 	ga4: 0.13 	gb0: 0.24 	gb1: 0.66 	gb2: 0.51 	gb3: 2.47 	gb4: 1.36 	gb5: 1.61
		Population 1
			Robot 0 	f: -773.13 	mf: -512.50 	ga0: 1.00 	ga1: 7.56 	ga2: 0.11 	ga3: 0.06 	ga4: 0.00 	gb0: 0.56 	gb1: 0.67 	gb2: 0.61 	gb3: 4.21 	gb4: 1.53 	gb5: 0.75
			Robot 1 	f: 1356.60 	mf: 1270.50 	ga0: 1.00 	ga1: 8.10 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	gb0: 0.19 	gb1: 0.49 	gb2: 0.63 	gb3: 3.39 	gb4: 1.24 	gb5: 0.65
			Robot 2 	f: 731.79 	mf: -531.50 	ga0: 1.00 	ga1: 6.46 	ga2: 0.41 	ga3: 0.00 	ga4: 0.00 	gb0: 0.38 	gb1: 0.70 	gb2: 0.47 	gb3: 3.62 	gb4: 2.02 	gb5: 0.96
			Robot 3 	f: -2518.09 	mf: -1772.50 	ga0: 1.00 	ga1: 7.29 	ga2: 0.04 	ga3: 0.00 	ga4: 0.00 	gb0: 0.33 	gb1: 0.35 	gb2: 0.79 	gb3: 1.69 	gb4: 1.37 	gb5: 1.45
			Robot 4 	f: 256.19 	mf: -227.00 	ga0: 1.00 	ga1: 7.43 	ga2: 0.28 	ga3: 0.11 	ga4: 0.00 	gb0: 0.50 	gb1: 0.23 	gb2: 0.39 	gb3: 2.54 	gb4: 0.73 	gb5: 2.91
			Robot 5 	f: 758.33 	mf: 41.00 	ga0: 0.93 	ga1: 6.31 	ga2: 0.00 	ga3: 0.04 	ga4: 0.00 	gb0: 0.13 	gb1: 0.29 	gb2: 0.44 	gb3: 2.24 	gb4: 1.08 	gb5: 2.16
			Robot 6 	f: -1232.42 	mf: -1349.00 	ga0: 1.00 	ga1: 7.65 	ga2: 0.00 	ga3: 0.13 	ga4: 0.00 	gb0: 0.14 	gb1: 0.38 	gb2: 0.73 	gb3: 3.90 	gb4: 2.89 	gb5: 2.38
			Robot 7 	f: -2159.50 	mf: -1233.00 	ga0: 1.00 	ga1: 7.55 	ga2: 0.09 	ga3: 0.03 	ga4: 0.00 	gb0: 0.34 	gb1: 0.43 	gb2: 0.43 	gb3: 3.27 	gb4: 2.54 	gb5: 2.92
			Robot 8 	f: 1321.90 	mf: -646.00 	ga0: 1.00 	ga1: 7.91 	ga2: 0.14 	ga3: 0.00 	ga4: 0.00 	gb0: 0.45 	gb1: 0.72 	gb2: 0.45 	gb3: 3.34 	gb4: 0.69 	gb5: 1.07
