QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 80
PointsCollision: -150
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 4	 mr: 0.2	 nc: 0.4	 nm: 0.2	 bmp: 0	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 386.49 	mf: 386.00
			Robot 1 	f: 249.45 	mf: 249.00
			Robot 2 	f: 197.47 	mf: 197.00
			Robot 3 	f: 433.65 	mf: 433.00
			Robot 4 	f: 145.70 	mf: 145.00
			Robot 5 	f: 83.56 	mf: 83.00
			Robot 6 	f: -9.67 	mf: -9.00
			Robot 7 	f: 265.79 	mf: 265.00
			Robot 8 	f: -118.31 	mf: -118.00
			Robot 9 	f: 37.27 	mf: 37.00
		Population 1
			Robot 0 	f: -40.27 	mf: 173.00
			Robot 1 	f: 318.02 	mf: 283.50
			Robot 2 	f: 86.38 	mf: 141.50
			Robot 3 	f: 146.61 	mf: 289.50
			Robot 4 	f: 168.08 	mf: 156.50
			Robot 5 	f: 201.84 	mf: 142.00
			Robot 6 	f: 71.06 	mf: 31.00
			Robot 7 	f: 178.52 	mf: 221.50
			Robot 8 	f: 214.70 	mf: 48.00
			Robot 9 	f: 241.50 	mf: 139.00
		Population 2
			Robot 0 	f: 119.27 	mf: 155.00
			Robot 1 	f: 268.49 	mf: 278.33
			Robot 2 	f: 227.02 	mf: 170.00
			Robot 3 	f: 377.74 	mf: 318.67
			Robot 4 	f: 286.52 	mf: 199.67
			Robot 5 	f: 295.05 	mf: 193.00
			Robot 6 	f: 196.68 	mf: 86.00
			Robot 7 	f: 262.65 	mf: 235.00
			Robot 8 	f: 346.57 	mf: 147.33
			Robot 9 	f: 133.34 	mf: 137.00
		Population 3
			Robot 0 	f: 153.78 	mf: 154.50
			Robot 1 	f: 63.31 	mf: 224.50
			Robot 2 	f: 220.11 	mf: 182.50
			Robot 3 	f: 209.32 	mf: 291.25
			Robot 4 	f: 196.18 	mf: 198.75
			Robot 5 	f: 389.45 	mf: 242.00
			Robot 6 	f: 462.39 	mf: 180.00
			Robot 7 	f: 298.29 	mf: 250.75
			Robot 8 	f: 313.98 	mf: 188.75
			Robot 9 	f: 484.37 	mf: 223.75
		Population 4
			Robot 0 	f: 390.26 	mf: 155.50
			Robot 1 	f: 108.78 	mf: 189.25
			Robot 2 	f: 136.67 	mf: 167.25
			Robot 3 	f: 120.73 	mf: 213.00
			Robot 4 	f: 109.54 	mf: 189.75
			Robot 5 	f: 367.50 	mf: 313.00
			Robot 6 	f: 322.94 	mf: 262.75
			Robot 7 	f: 345.00 	mf: 270.75
			Robot 8 	f: 247.47 	mf: 280.00
			Robot 9 	f: -2.42 	mf: 214.00
		Population 5
			Robot 0 	f: 215.95 	mf: 219.25
			Robot 1 	f: 249.79 	mf: 172.00
			Robot 2 	f: 219.43 	mf: 200.50
			Robot 3 	f: 273.33 	mf: 244.75
			Robot 4 	f: 263.91 	mf: 213.50
			Robot 5 	f: 289.33 	mf: 335.00
			Robot 6 	f: 165.69 	mf: 286.25
			Robot 7 	f: 134.16 	mf: 259.75
			Robot 8 	f: 455.68 	mf: 340.25
			Robot 9 	f: -152.41 	mf: 115.75
		Population 6
			Robot 0 	f: 292.09 	mf: 262.50
			Robot 1 	f: 139.18 	mf: 139.75
			Robot 2 	f: 260.33 	mf: 208.75
			Robot 3 	f: 358.40 	mf: 240.00
			Robot 4 	f: 194.15 	mf: 190.50
			Robot 5 	f: 287.73 	mf: 333.00
