QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3.54	 mr: 0.9	 nc: 0.25	 nm: 0.17	 bmp: 0.6	 cc: 2.56
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	ga0: -6.65 	ga1: 4.90 	ga2: 0.00 	ga3: 0.37 	ga4: 0.00 	ga5: 0.28 	ga6: 0.04 	gb0: -4.96 	gb1: 3.47 	gb2: 0.13 	gb3: 0.42 	gb4: 0.17 	gb5: -0.15 	gb6: 0.80 	gb7: -0.27 	gb8: -0.36 	gb9: -0.47
			Robot 1 	f: 0.00 	ga0: 0.41 	ga1: 6.63 	ga2: 0.14 	ga3: 0.34 	ga4: 0.27 	ga5: 0.11 	ga6: 0.15 	gb0: 0.42 	gb1: 4.81 	gb2: 0.16 	gb3: 0.25 	gb4: 0.47 	gb5: -0.32 	gb6: 0.72 	gb7: -0.13 	gb8: -0.47 	gb9: -0.69
			Robot 2 	f: 0.00 	ga0: -6.62 	ga1: 4.19 	ga2: 0.28 	ga3: 0.28 	ga4: 0.16 	ga5: 0.16 	ga6: 0.10 	gb0: -4.74 	gb1: 2.96 	gb2: 0.42 	gb3: 0.21 	gb4: 0.14 	gb5: 0.11 	gb6: 1.02 	gb7: -0.74 	gb8: -0.48 	gb9: -0.53
			Robot 3 	f: 0.00 	ga0: -6.61 	ga1: 1.29 	ga2: 0.29 	ga3: 0.25 	ga4: 0.00 	ga5: 0.16 	ga6: 0.32 	gb0: -4.90 	gb1: 0.89 	gb2: 0.27 	gb3: 0.21 	gb4: 0.13 	gb5: 0.27 	gb6: 0.96 	gb7: -0.47 	gb8: -0.27 	gb9: -0.45
			Robot 4 	f: 0.00 	ga0: 0.53 	ga1: 4.31 	ga2: 0.14 	ga3: 0.33 	ga4: 0.31 	ga5: 0.09 	ga6: 0.00 	gb0: 0.56 	gb1: 3.09 	gb2: 0.26 	gb3: 0.20 	gb4: 0.49 	gb5: 0.10 	gb6: 0.78 	gb7: -0.64 	gb8: -0.09 	gb9: -0.83
			Robot 5 	f: 0.00 	ga0: 0.51 	ga1: 8.53 	ga2: 0.14 	ga3: 0.31 	ga4: 0.22 	ga5: 0.36 	ga6: 0.15 	gb0: 0.53 	gb1: 6.18 	gb2: 0.17 	gb3: 0.18 	gb4: 0.20 	gb5: 0.08 	gb6: 0.70 	gb7: -0.30 	gb8: -0.37 	gb9: -0.46
			Robot 6 	f: 0.00 	ga0: -6.65 	ga1: 0.26 	ga2: 0.31 	ga3: 0.27 	ga4: 0.08 	ga5: 0.15 	ga6: 0.11 	gb0: -4.75 	gb1: 0.21 	gb2: 0.38 	gb3: 0.06 	gb4: 0.21 	gb5: 0.43 	gb6: 0.55 	gb7: -0.64 	gb8: -0.49 	gb9: -0.28
			Robot 7 	f: 0.00 	ga0: -7.36 	ga1: 7.90 	ga2: 0.35 	ga3: 0.06 	ga4: 0.19 	ga5: 0.23 	ga6: 0.31 	gb0: -5.25 	gb1: 5.87 	gb2: 0.48 	gb3: 0.18 	gb4: 0.38 	gb5: 0.21 	gb6: 0.84 	gb7: -0.79 	gb8: -0.32 	gb9: -0.26
			Robot 8 	f: 0.00 	ga0: -6.62 	ga1: 3.29 	ga2: 0.01 	ga3: 0.33 	ga4: 0.35 	ga5: 0.00 	ga6: 0.35 	gb0: -4.73 	gb1: 2.45 	gb2: 0.20 	gb3: 0.37 	gb4: 0.51 	gb5: -0.06 	gb6: 0.45 	gb7: -0.58 	gb8: -0.24 	gb9: -0.68
			Robot 9 	f: 0.00 	ga0: 0.48 	ga1: 5.13 	ga2: 0.01 	ga3: 0.00 	ga4: 0.27 	ga5: 0.12 	ga6: 0.34 	gb0: 0.48 	gb1: 3.65 	gb2: 0.07 	gb3: 0.14 	gb4: 0.44 	gb5: -0.13 	gb6: 0.95 	gb7: -0.67 	gb8: -0.54 	gb9: -0.70
			Robot 10 	f: 0.00 	ga0: -7.39 	ga1: 1.84 	ga2: 0.30 	ga3: 0.12 	ga4: 0.01 	ga5: 0.00 	ga6: 0.19 	gb0: -5.40 	gb1: 1.35 	gb2: 0.23 	gb3: 0.19 	gb4: 0.10 	gb5: 0.12 	gb6: 0.74 	gb7: -0.57 	gb8: -0.16 	gb9: -0.43
