QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.58 	ga1: 9.40 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.21 	ga10: 0.52 	ga11: 0.00 	gb0: 0.43 	gb1: 0.31 	gb2: 0.49 	gb3: 0.38 	gb4: 0.71 	gb5: 0.46 	gb6: 0.48 	gb7: 0.25 	gb8: 0.25 	gb9: 0.42 	gb10: 1.04 	gb11: 2.20 	gb12: -3.12 	gb13: -2.52 	gb14: 0.83 	gb15: -1.59 	gb16: 1.35 	gb17: 2.75 	gb18: 2.72 	gb19: 3.43
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 4.28 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.60 	ga11: 0.00 	gb0: 0.71 	gb1: 0.74 	gb2: 0.69 	gb3: 0.38 	gb4: 0.36 	gb5: 0.52 	gb6: 0.65 	gb7: 0.46 	gb8: 0.45 	gb9: 0.14 	gb10: -3.39 	gb11: 1.00 	gb12: 2.08 	gb13: -2.23 	gb14: 2.82 	gb15: 3.83 	gb16: -1.35 	gb17: 3.53 	gb18: 1.15 	gb19: -1.49
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 2.88 	ga2: 0.25 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.31 	gb1: 0.60 	gb2: 0.17 	gb3: 0.52 	gb4: 0.11 	gb5: 0.15 	gb6: 0.48 	gb7: 0.36 	gb8: 0.48 	gb9: 0.16 	gb10: 2.05 	gb11: 3.69 	gb12: 0.95 	gb13: 2.35 	gb14: -2.57 	gb15: -2.22 	gb16: -4.84 	gb17: 0.54 	gb18: -3.17 	gb19: 3.73
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 9.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.08 	gb0: 0.90 	gb1: 0.83 	gb2: 0.19 	gb3: 0.07 	gb4: 0.27 	gb5: 0.75 	gb6: 0.68 	gb7: 0.43 	gb8: 0.50 	gb9: 0.70 	gb10: -3.88 	gb11: 2.01 	gb12: -1.32 	gb13: 0.37 	gb14: -2.87 	gb15: 3.41 	gb16: 0.97 	gb17: -1.57 	gb18: -2.58 	gb19: 3.38
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 9.60 	ga2: 0.63 	ga3: 0.00 	ga4: 0.64 	ga5: 0.00 	ga6: 0.00 	ga7: 0.33 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.41 	gb1: 0.30 	gb2: 0.15 	gb3: 0.48 	gb4: 0.59 	gb5: 0.06 	gb6: 0.78 	gb7: 0.54 	gb8: 0.75 	gb9: 0.57 	gb10: -0.35 	gb11: -1.86 	gb12: -1.09 	gb13: -3.03 	gb14: -1.73 	gb15: -2.03 	gb16: -0.72 	gb17: 0.97 	gb18: -1.25 	gb19: 1.00
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 9.60 	ga2: 0.00 	ga3: 0.10 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.89 	gb1: 0.88 	gb2: 0.20 	gb3: 0.34 	gb4: 0.62 	gb5: 0.23 	gb6: 0.51 	gb7: 0.14 	gb8: 0.72 	gb9: 0.58 	gb10: 1.13 	gb11: 0.35 	gb12: 1.16 	gb13: -1.42 	gb14: -0.41 	gb15: 3.86 	gb16: 1.10 	gb17: -1.85 	gb18: -1.17 	gb19: -1.11
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 5.68 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.30 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.85 	gb1: 0.49 	gb2: 0.71 	gb3: 0.21 	gb4: 0.74 	gb5: 0.26 	gb6: 0.26 	gb7: 0.28 	gb8: 0.65 	gb9: 0.41 	gb10: 1.02 	gb11: 1.32 	gb12: 3.32 	gb13: 3.75 	gb14: -3.31 	gb15: -2.16 	gb16: -0.60 	gb17: 2.60 	gb18: 0.66 	gb19: -2.95
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 9.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.17 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.41 	ga11: 0.00 	gb0: 0.90 	gb1: 0.58 	gb2: 0.51 	gb3: 0.38 	gb4: 0.60 	gb5: 0.34 	gb6: 0.26 	gb7: 0.72 	gb8: 0.30 	gb9: 0.48 	gb10: -1.07 	gb11: -2.62 	gb12: 0.52 	gb13: -2.49 	gb14: -2.80 	gb15: -0.67 	gb16: -1.67 	gb17: -0.46 	gb18: 0.87 	gb19: 3.22
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 3.58 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.15 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.34 	gb0: 0.91 	gb1: 0.58 	gb2: 0.47 	gb3: 0.24 	gb4: 0.34 	gb5: 0.53 	gb6: 0.55 	gb7: 0.19 	gb8: 0.59 	gb9: 0.65 	gb10: -4.13 	gb11: -0.12 	gb12: 4.05 	gb13: 1.31 	gb14: -3.55 	gb15: -1.59 	gb16: 0.04 	gb17: -0.35 	gb18: -3.01 	gb19: -1.04
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.24 	ga1: 9.60 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.77 	gb1: 0.71 	gb2: 0.30 	gb3: 0.02 	gb4: 0.30 	gb5: 0.18 	gb6: 0.74 	gb7: 0.44 	gb8: 0.30 	gb9: 0.17 	gb10: -2.65 	gb11: 1.22 	gb12: 3.98 	gb13: 1.37 	gb14: -0.36 	gb15: 2.33 	gb16: -4.88 	gb17: 4.27 	gb18: 1.07 	gb19: 1.08
		Population 1
