QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.2	 nc: 0.6	 nm: 0.3	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 0.19 	ga1: 0.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.20 	ga6: 0.55 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.53 	gb1: 0.62 	gb2: 0.60 	gb3: 0.27 	gb4: 0.44 	gb5: 0.31 	gb6: 0.11 	gb7: 0.65 	gb8: 0.63 	gb9: 0.72 	gb10: -2.43 	gb11: -0.81 	gb12: -3.11 	gb13: -2.26 	gb14: 0.28 	gb15: -1.63 	gb16: -4.39 	gb17: 1.95 	gb18: -0.53 	gb19: -3.74
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.64 	gb1: 0.41 	gb2: 0.27 	gb3: 0.43 	gb4: 0.19 	gb5: 0.42 	gb6: 0.97 	gb7: 0.48 	gb8: 0.55 	gb9: 0.64 	gb10: 0.10 	gb11: -3.16 	gb12: -1.61 	gb13: -1.77 	gb14: 0.16 	gb15: 2.53 	gb16: -0.66 	gb17: -0.12 	gb18: 0.38 	gb19: -0.94
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.17 	gb1: 0.38 	gb2: 0.38 	gb3: 0.34 	gb4: 0.35 	gb5: 0.15 	gb6: 0.83 	gb7: 0.54 	gb8: 0.75 	gb9: 0.35 	gb10: -3.02 	gb11: -3.09 	gb12: -2.82 	gb13: 2.68 	gb14: 0.92 	gb15: 3.02 	gb16: -0.18 	gb17: 0.58 	gb18: 0.67 	gb19: -2.09
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 0.88 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.21 	gb0: 0.05 	gb1: 0.13 	gb2: 0.58 	gb3: 0.48 	gb4: 0.52 	gb5: 0.64 	gb6: 0.71 	gb7: 0.20 	gb8: 0.33 	gb9: 0.67 	gb10: 0.63 	gb11: -2.26 	gb12: -1.12 	gb13: -2.09 	gb14: -1.87 	gb15: 3.14 	gb16: -0.03 	gb17: -1.62 	gb18: 0.69 	gb19: 1.10
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 1.71 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.38 	ga7: 0.00 	ga8: 0.00 	ga9: 0.39 	ga10: 0.00 	ga11: 0.00 	gb0: 0.51 	gb1: 0.12 	gb2: 0.06 	gb3: 0.79 	gb4: 0.67 	gb5: 0.36 	gb6: 0.93 	gb7: 0.22 	gb8: 0.73 	gb9: 0.62 	gb10: 2.69 	gb11: -4.29 	gb12: -1.53 	gb13: 0.67 	gb14: 0.85 	gb15: -0.99 	gb16: -0.14 	gb17: -0.00 	gb18: 1.10 	gb19: -4.78
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.64 	gb1: 0.45 	gb2: 0.50 	gb3: 0.42 	gb4: 0.32 	gb5: 0.58 	gb6: 0.55 	gb7: 0.29 	gb8: 0.67 	gb9: 0.86 	gb10: 1.29 	gb11: 1.58 	gb12: -4.19 	gb13: 1.92 	gb14: -0.57 	gb15: 1.96 	gb16: -1.43 	gb17: -4.19 	gb18: -0.99 	gb19: -3.48
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 2.41 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.06 	gb1: 0.53 	gb2: 0.08 	gb3: 0.39 	gb4: 0.45 	gb5: 0.73 	gb6: 0.66 	gb7: 0.17 	gb8: 0.43 	gb9: 0.35 	gb10: 3.13 	gb11: 1.34 	gb12: -2.85 	gb13: 1.26 	gb14: 0.05 	gb15: 1.39 	gb16: -2.97 	gb17: 1.72 	gb18: 1.81 	gb19: 0.14
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 5.70 	ga2: 0.00 	ga3: 0.53 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.61 	gb0: 0.18 	gb1: 0.19 	gb2: 0.16 	gb3: 0.77 	gb4: 0.20 	gb5: 0.60 	gb6: 0.66 	gb7: 0.77 	gb8: 0.52 	gb9: 0.27 	gb10: -3.03 	gb11: -0.84 	gb12: -1.42 	gb13: 0.92 	gb14: -1.77 	gb15: -3.03 	gb16: -1.78 	gb17: -3.70 	gb18: 2.90 	gb19: -2.25
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 0.18 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.10 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.26 	gb1: 0.53 	gb2: 0.66 	gb3: 0.52 	gb4: 0.10 	gb5: 0.48 	gb6: 0.66 	gb7: 0.47 	gb8: 0.66 	gb9: 0.62 	gb10: -2.61 	gb11: 1.34 	gb12: -3.02 	gb13: 2.53 	gb14: 1.99 	gb15: 3.48 	gb16: -2.57 	gb17: 0.20 	gb18: 4.12 	gb19: -2.09
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 0.61 	ga1: 5.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.02 	gb1: 0.28 	gb2: 0.02 	gb3: 0.78 	gb4: 0.25 	gb5: 0.49 	gb6: 0.98 	gb7: 0.51 	gb8: 0.44 	gb9: 0.61 	gb10: -0.52 	gb11: -3.43 	gb12: -4.98 	gb13: -1.63 	gb14: -3.83 	gb15: 0.00 	gb16: -4.31 	gb17: -3.21 	gb18: 4.69 	gb19: -4.84
		Population 1
