QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 20
PointsCollision: -50
PointsMoving: 1
MaxPopulation: 500
MaxTime: 6000
EnvMutationRate: 0.2

Environment 0	 h: 10	 mr: 0.3	 nc: 0.6	 nm: 0.2	 bmp: 1	 cc: 0
	Repetition 0
		Population 0
			Robot 0 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.13 	ga4: 0.00 	ga5: 0.10 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.23 	ga10: 0.00 	ga11: 0.00 	gb0: 0.13 	gb1: 0.66 	gb2: 0.82 	gb3: 0.63 	gb4: 0.31 	gb5: 0.23 	gb6: 0.55 	gb7: 0.58 	gb8: 0.95 	gb9: 0.42 	gb10: -0.07 	gb11: 2.89 	gb12: -1.43 	gb13: -0.82 	gb14: 1.99 	gb15: 1.98 	gb16: -3.94 	gb17: -1.61 	gb18: 3.41 	gb19: 0.31
			Robot 1 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.71 	ga4: 0.05 	ga5: 0.30 	ga6: 0.48 	ga7: 0.62 	ga8: 0.00 	ga9: 0.00 	ga10: 0.19 	ga11: 0.24 	gb0: 0.65 	gb1: 0.18 	gb2: 0.44 	gb3: 0.51 	gb4: 0.18 	gb5: 0.61 	gb6: 0.55 	gb7: 0.79 	gb8: 0.27 	gb9: 0.72 	gb10: 1.84 	gb11: 2.01 	gb12: 0.88 	gb13: -1.63 	gb14: 2.88 	gb15: -3.87 	gb16: -2.44 	gb17: 0.82 	gb18: -3.68 	gb19: -2.49
			Robot 2 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.01 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.72 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.36 	gb1: 0.22 	gb2: 0.18 	gb3: 0.54 	gb4: 0.19 	gb5: 0.16 	gb6: 0.37 	gb7: 0.08 	gb8: 0.75 	gb9: 0.59 	gb10: 3.02 	gb11: -2.04 	gb12: -1.64 	gb13: -2.56 	gb14: -2.22 	gb15: -1.20 	gb16: 1.07 	gb17: 3.04 	gb18: 1.91 	gb19: -1.49
			Robot 3 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.58 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.75 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.67 	gb1: 0.90 	gb2: 0.29 	gb3: 0.67 	gb4: 0.59 	gb5: 0.74 	gb6: 0.37 	gb7: 0.45 	gb8: 0.50 	gb9: 0.07 	gb10: -1.12 	gb11: -3.80 	gb12: 0.12 	gb13: 4.80 	gb14: -1.77 	gb15: -1.85 	gb16: -1.39 	gb17: 3.23 	gb18: -0.83 	gb19: -2.23
			Robot 4 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.02 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.61 	gb1: 0.79 	gb2: 0.16 	gb3: 0.30 	gb4: 0.23 	gb5: 0.09 	gb6: 0.18 	gb7: 0.59 	gb8: 0.86 	gb9: 0.30 	gb10: -3.16 	gb11: -0.23 	gb12: -1.20 	gb13: -0.09 	gb14: -1.06 	gb15: -0.16 	gb16: -3.45 	gb17: 2.19 	gb18: 3.28 	gb19: -4.09
			Robot 5 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.02 	ga5: 0.00 	ga6: 0.05 	ga7: 0.00 	ga8: 0.22 	ga9: 0.00 	ga10: 0.33 	ga11: 0.11 	gb0: 0.44 	gb1: 0.83 	gb2: 0.56 	gb3: 0.47 	gb4: 0.20 	gb5: 0.65 	gb6: 0.26 	gb7: 0.34 	gb8: 0.27 	gb9: 0.69 	gb10: 2.19 	gb11: -0.67 	gb12: -3.31 	gb13: -2.04 	gb14: -1.72 	gb15: 3.15 	gb16: -3.17 	gb17: 0.85 	gb18: 3.02 	gb19: -0.53
			Robot 6 	f: 0.00 	mf: 0.00 	ga0: 1.11 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.51 	ga7: 0.65 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.20 	gb1: 0.63 	gb2: 0.67 	gb3: 0.68 	gb4: 0.33 	gb5: 0.03 	gb6: 0.15 	gb7: 0.02 	gb8: 0.33 	gb9: 0.31 	gb10: 0.28 	gb11: 1.58 	gb12: 1.91 	gb13: 4.42 	gb14: -3.30 	gb15: -1.87 	gb16: -1.28 	gb17: 3.43 	gb18: 1.02 	gb19: 2.07
			Robot 7 	f: 0.00 	mf: 0.00 	ga0: 1.11 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.46 	ga8: 0.68 	ga9: 0.00 	ga10: 0.37 	ga11: 0.18 	gb0: 0.44 	gb1: 0.16 	gb2: 0.90 	gb3: 0.48 	gb4: 0.56 	gb5: 0.78 	gb6: 0.56 	gb7: 0.40 	gb8: 0.56 	gb9: 0.51 	gb10: 2.02 	gb11: -3.13 	gb12: 2.25 	gb13: 1.14 	gb14: -3.43 	gb15: -4.44 	gb16: 0.45 	gb17: 1.57 	gb18: 1.59 	gb19: 3.15
			Robot 8 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.30 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.51 	gb0: 0.73 	gb1: 0.21 	gb2: 0.24 	gb3: 0.92 	gb4: 0.61 	gb5: 0.12 	gb6: 0.15 	gb7: 0.68 	gb8: 0.38 	gb9: 0.55 	gb10: -1.61 	gb11: -3.12 	gb12: 0.95 	gb13: -1.49 	gb14: 2.63 	gb15: -1.36 	gb16: -3.04 	gb17: 1.71 	gb18: 1.35 	gb19: -4.69
			Robot 9 	f: 0.00 	mf: 0.00 	ga0: 1.54 	ga1: 2.70 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	ga7: 0.00 	ga8: 0.00 	ga9: 0.00 	ga10: 0.00 	ga11: 0.00 	gb0: 0.27 	gb1: 0.53 	gb2: 0.72 	gb3: 0.98 	gb4: 0.49 	gb5: 0.07 	gb6: 0.65 	gb7: 0.01 	gb8: 0.85 	gb9: 0.13 	gb10: 3.35 	gb11: -4.14 	gb12: -3.18 	gb13: 4.48 	gb14: 1.42 	gb15: -3.50 	gb16: -3.14 	gb17: 4.69 	gb18: -0.86 	gb19: -4.11
		Population 1
